"pathogen","country","location","dateStart","dateEnd","count","countCumu","source"
"Dengue","Colombia","Amazonas",2016-01-03,2016-01-09,1,1,"C-NIH"
"Dengue","Colombia","Antioquia",2016-01-03,2016-01-09,393,393,"C-NIH"
"Dengue","Colombia","Arauca",2016-01-03,2016-01-09,25,25,"C-NIH"
"Dengue","Colombia","Atlantico",2016-01-03,2016-01-09,134,134,"C-NIH"
"Dengue","Colombia","Bolivar",2016-01-03,2016-01-09,70,70,"C-NIH"
"Dengue","Colombia","Boyaca",2016-01-03,2016-01-09,21,21,"C-NIH"
"Dengue","Colombia","Caldas",2016-01-03,2016-01-09,25,25,"C-NIH"
"Dengue","Colombia","Caqueta",2016-01-03,2016-01-09,43,43,"C-NIH"
"Dengue","Colombia","Casanare",2016-01-03,2016-01-09,27,27,"C-NIH"
"Dengue","Colombia","Cauca",2016-01-03,2016-01-09,32,32,"C-NIH"
"Dengue","Colombia","Cesar",2016-01-03,2016-01-09,119,119,"C-NIH"
"Dengue","Colombia","Choco",2016-01-03,2016-01-09,9,9,"C-NIH"
"Dengue","Colombia","Cordoba",2016-01-03,2016-01-09,62,62,"C-NIH"
"Dengue","Colombia","Cundinamarca",2016-01-03,2016-01-09,191,191,"C-NIH"
"Dengue","Colombia","Guainia",2016-01-03,2016-01-09,10,10,"C-NIH"
"Dengue","Colombia","Guajira",2016-01-03,2016-01-09,23,23,"C-NIH"
"Dengue","Colombia","Guaviare",2016-01-03,2016-01-09,7,7,"C-NIH"
"Dengue","Colombia","Huila",2016-01-03,2016-01-09,182,182,"C-NIH"
"Dengue","Colombia","Magdalena",2016-01-03,2016-01-09,52,52,"C-NIH"
"Dengue","Colombia","Meta",2016-01-03,2016-01-09,59,59,"C-NIH"
"Dengue","Colombia","Narino",2016-01-03,2016-01-09,28,28,"C-NIH"
"Dengue","Colombia","Norte_Santander",2016-01-03,2016-01-09,145,145,"C-NIH"
"Dengue","Colombia","Putumayo",2016-01-03,2016-01-09,80,80,"C-NIH"
"Dengue","Colombia","Quindio",2016-01-03,2016-01-09,86,86,"C-NIH"
"Dengue","Colombia","Risaralda",2016-01-03,2016-01-09,39,39,"C-NIH"
"Dengue","Colombia","San_Andres",2016-01-03,2016-01-09,3,3,"C-NIH"
"Dengue","Colombia","Santander",2016-01-03,2016-01-09,150,150,"C-NIH"
"Dengue","Colombia","Sucre",2016-01-03,2016-01-09,40,40,"C-NIH"
"Dengue","Colombia","Tolima",2016-01-03,2016-01-09,280,280,"C-NIH"
"Dengue","Colombia","Valle",2016-01-03,2016-01-09,568,568,"C-NIH"
"Dengue","Colombia","Vaupes",2016-01-03,2016-01-09,0,0,"C-NIH"
"Dengue","Colombia","Vichada",2016-01-03,2016-01-09,0,0,"C-NIH"
"Dengue","Colombia","Amazonas",2016-01-10,2016-01-16,2,2,"C-NIH"
"Dengue","Colombia","Antioquia",2016-01-10,2016-01-16,454,454,"C-NIH"
"Dengue","Colombia","Arauca",2016-01-10,2016-01-16,29,29,"C-NIH"
"Dengue","Colombia","Atlantico",2016-01-10,2016-01-16,122,122,"C-NIH"
"Dengue","Colombia","Bolivar",2016-01-10,2016-01-16,68,68,"C-NIH"
"Dengue","Colombia","Boyaca",2016-01-10,2016-01-16,35,35,"C-NIH"
"Dengue","Colombia","Caldas",2016-01-10,2016-01-16,23,23,"C-NIH"
"Dengue","Colombia","Caqueta",2016-01-10,2016-01-16,50,50,"C-NIH"
"Dengue","Colombia","Casanare",2016-01-10,2016-01-16,31,31,"C-NIH"
"Dengue","Colombia","Cauca",2016-01-10,2016-01-16,41,41,"C-NIH"
"Dengue","Colombia","Cesar",2016-01-10,2016-01-16,63,63,"C-NIH"
"Dengue","Colombia","Choco",2016-01-10,2016-01-16,6,6,"C-NIH"
"Dengue","Colombia","Cordoba",2016-01-10,2016-01-16,73,73,"C-NIH"
"Dengue","Colombia","Cundinamarca",2016-01-10,2016-01-16,182,182,"C-NIH"
"Dengue","Colombia","Guainia",2016-01-10,2016-01-16,9,9,"C-NIH"
"Dengue","Colombia","Guajira",2016-01-10,2016-01-16,18,18,"C-NIH"
"Dengue","Colombia","Guaviare",2016-01-10,2016-01-16,7,7,"C-NIH"
"Dengue","Colombia","Huila",2016-01-10,2016-01-16,195,195,"C-NIH"
"Dengue","Colombia","Magdalena",2016-01-10,2016-01-16,68,68,"C-NIH"
"Dengue","Colombia","Meta",2016-01-10,2016-01-16,54,54,"C-NIH"
"Dengue","Colombia","Narino",2016-01-10,2016-01-16,18,18,"C-NIH"
"Dengue","Colombia","Norte_Santander",2016-01-10,2016-01-16,135,135,"C-NIH"
"Dengue","Colombia","Putumayo",2016-01-10,2016-01-16,102,102,"C-NIH"
