"pathogen","country","location","dateStart","dateEnd","count","countCumu","source"
"Dengue","Colombia","Amazonas",2012-01-01,2012-01-07,0,0,"C-NIH"
"Dengue","Colombia","Antioquia",2012-01-01,2012-01-07,31,31,"C-NIH"
"Dengue","Colombia","Arauca",2012-01-01,2012-01-07,2,2,"C-NIH"
"Dengue","Colombia","Atlantico",2012-01-01,2012-01-07,51,51,"C-NIH"
"Dengue","Colombia","Bogota",2012-01-01,2012-01-07,3,3,"C-NIH"
"Dengue","Colombia","Bolivar",2012-01-01,2012-01-07,10,10,"C-NIH"
"Dengue","Colombia","Boyaca",2012-01-01,2012-01-07,5,5,"C-NIH"
"Dengue","Colombia","Caldas",2012-01-01,2012-01-07,5,5,"C-NIH"
"Dengue","Colombia","Caqueta",2012-01-01,2012-01-07,58,58,"C-NIH"
"Dengue","Colombia","Casanare",2012-01-01,2012-01-07,22,22,"C-NIH"
"Dengue","Colombia","Cauca",2012-01-01,2012-01-07,3,3,"C-NIH"
"Dengue","Colombia","Cesar",2012-01-01,2012-01-07,18,18,"C-NIH"
"Dengue","Colombia","Choco",2012-01-01,2012-01-07,1,1,"C-NIH"
"Dengue","Colombia","Cordoba",2012-01-01,2012-01-07,40,40,"C-NIH"
"Dengue","Colombia","Cundinamarca",2012-01-01,2012-01-07,32,32,"C-NIH"
"Dengue","Colombia","Guainia",2012-01-01,2012-01-07,1,1,"C-NIH"
"Dengue","Colombia","Guajira",2012-01-01,2012-01-07,20,20,"C-NIH"
"Dengue","Colombia","Guaviare",2012-01-01,2012-01-07,3,3,"C-NIH"
"Dengue","Colombia","Huila",2012-01-01,2012-01-07,91,91,"C-NIH"
"Dengue","Colombia","Magdalena",2012-01-01,2012-01-07,2,2,"C-NIH"
"Dengue","Colombia","Meta",2012-01-01,2012-01-07,100,100,"C-NIH"
"Dengue","Colombia","Narino",2012-01-01,2012-01-07,3,3,"C-NIH"
"Dengue","Colombia","Norte_Santander",2012-01-01,2012-01-07,62,62,"C-NIH"
"Dengue","Colombia","Putumayo",2012-01-01,2012-01-07,36,36,"C-NIH"
"Dengue","Colombia","Quindio",2012-01-01,2012-01-07,50,50,"C-NIH"
"Dengue","Colombia","Risaralda",2012-01-01,2012-01-07,6,6,"C-NIH"
"Dengue","Colombia","San_Andres",2012-01-01,2012-01-07,2,2,"C-NIH"
"Dengue","Colombia","Santander",2012-01-01,2012-01-07,45,45,"C-NIH"
"Dengue","Colombia","Sucre",2012-01-01,2012-01-07,24,24,"C-NIH"
"Dengue","Colombia","Tolima",2012-01-01,2012-01-07,57,57,"C-NIH"
"Dengue","Colombia","Valle",2012-01-01,2012-01-07,70,70,"C-NIH"
"Dengue","Colombia","Vaupes",2012-01-01,2012-01-07,0,0,"C-NIH"
"Dengue","Colombia","Vichada",2012-01-01,2012-01-07,5,5,"C-NIH"
"Dengue","Colombia","Amazonas",2012-01-08,2012-01-14,0,0,"C-NIH"
"Dengue","Colombia","Antioquia",2012-01-08,2012-01-14,30,30,"C-NIH"
"Dengue","Colombia","Arauca",2012-01-08,2012-01-14,2,2,"C-NIH"
"Dengue","Colombia","Atlantico",2012-01-08,2012-01-14,49,49,"C-NIH"
"Dengue","Colombia","Bogota",2012-01-08,2012-01-14,1,1,"C-NIH"
"Dengue","Colombia","Bolivar",2012-01-08,2012-01-14,11,11,"C-NIH"
"Dengue","Colombia","Boyaca",2012-01-08,2012-01-14,4,4,"C-NIH"
"Dengue","Colombia","Caldas",2012-01-08,2012-01-14,3,3,"C-NIH"
"Dengue","Colombia","Caqueta",2012-01-08,2012-01-14,70,70,"C-NIH"
"Dengue","Colombia","Casanare",2012-01-08,2012-01-14,22,22,"C-NIH"
