"pathogen","country","location","dateStart","dateEnd","count","countCumu","source"
"Dengue","Colombia","Amazonas",2010-01-03,2010-01-09,0,0,"C-NIH"
"Dengue","Colombia","Antioquia",2010-01-03,2010-01-09,85,85,"C-NIH"
"Dengue","Colombia","Arauca",2010-01-03,2010-01-09,27,27,"C-NIH"
"Dengue","Colombia","Atlantico",2010-01-03,2010-01-09,55,55,"C-NIH"
"Dengue","Colombia","Bolivar",2010-01-03,2010-01-09,17,17,"C-NIH"
"Dengue","Colombia","Boyaca",2010-01-03,2010-01-09,20,20,"C-NIH"
"Dengue","Colombia","Caldas",2010-01-03,2010-01-09,20,20,"C-NIH"
"Dengue","Colombia","Caqueta",2010-01-03,2010-01-09,0,0,"C-NIH"
"Dengue","Colombia","Casanare",2010-01-03,2010-01-09,16,16,"C-NIH"
"Dengue","Colombia","Cauca",2010-01-03,2010-01-09,41,41,"C-NIH"
"Dengue","Colombia","Cesar",2010-01-03,2010-01-09,73,73,"C-NIH"
"Dengue","Colombia","Choco",2010-01-03,2010-01-09,3,3,"C-NIH"
"Dengue","Colombia","Cordoba",2010-01-03,2010-01-09,7,7,"C-NIH"
"Dengue","Colombia","Cundinamarca",2010-01-03,2010-01-09,105,105,"C-NIH"
"Dengue","Colombia","Guainia",2010-01-03,2010-01-09,0,0,"C-NIH"
"Dengue","Colombia","Guajira",2010-01-03,2010-01-09,33,33,"C-NIH"
"Dengue","Colombia","Guaviare",2010-01-03,2010-01-09,22,22,"C-NIH"
"Dengue","Colombia","Huila",2010-01-03,2010-01-09,196,196,"C-NIH"
"Dengue","Colombia","Magdalena",2010-01-03,2010-01-09,25,25,"C-NIH"
"Dengue","Colombia","Meta",2010-01-03,2010-01-09,49,49,"C-NIH"
"Dengue","Colombia","Narino",2010-01-03,2010-01-09,7,7,"C-NIH"
"Dengue","Colombia","Norte_Santander",2010-01-03,2010-01-09,233,233,"C-NIH"
"Dengue","Colombia","Putumayo",2010-01-03,2010-01-09,30,30,"C-NIH"
"Dengue","Colombia","Quindio",2010-01-03,2010-01-09,146,146,"C-NIH"
"Dengue","Colombia","Risaralda",2010-01-03,2010-01-09,78,78,"C-NIH"
"Dengue","Colombia","San_Andres",2010-01-03,2010-01-09,0,0,"C-NIH"
"Dengue","Colombia","Santander",2010-01-03,2010-01-09,321,321,"C-NIH"
"Dengue","Colombia","Sucre",2010-01-03,2010-01-09,22,22,"C-NIH"
"Dengue","Colombia","Tolima",2010-01-03,2010-01-09,242,242,"C-NIH"
"Dengue","Colombia","Valle",2010-01-03,2010-01-09,428,428,"C-NIH"
"Dengue","Colombia","Vaupes",2010-01-03,2010-01-09,0,0,"C-NIH"
"Dengue","Colombia","Vichada",2010-01-03,2010-01-09,0,0,"C-NIH"
"Dengue","Colombia","Amazonas",2010-01-10,2010-01-16,0,0,"C-NIH"
"Dengue","Colombia","Antioquia",2010-01-10,2010-01-16,81,81,"C-NIH"
"Dengue","Colombia","Arauca",2010-01-10,2010-01-16,29,29,"C-NIH"
"Dengue","Colombia","Atlantico",2010-01-10,2010-01-16,90,90,"C-NIH"
"Dengue","Colombia","Bolivar",2010-01-10,2010-01-16,21,21,"C-NIH"
"Dengue","Colombia","Boyaca",2010-01-10,2010-01-16,25,25,"C-NIH"
"Dengue","Colombia","Caldas",2010-01-10,2010-01-16,32,32,"C-NIH"
"Dengue","Colombia","Caqueta",2010-01-10,2010-01-16,4,4,"C-NIH"
"Dengue","Colombia","Casanare",2010-01-10,2010-01-16,22,22,"C-NIH"
"Dengue","Colombia","Cauca",2010-01-10,2010-01-16,41,41,"C-NIH"
"Dengue","Colombia","Cesar",2010-01-10,2010-01-16,56,56,"C-NIH"
"Dengue","Colombia","Choco",2010-01-10,2010-01-16,3,3,"C-NIH"
"Dengue","Colombia","Cordoba",2010-01-10,2010-01-16,8,8,"C-NIH"
