Dengue cases,AC,AL,AP,AM,BA,CE,DF,ES,GO,MA,MS,MT,MG,PA,PB,PR,PE,PI,RJ,RN,RS,RO,RR,SC,SE,SP,TO
May2003,47,1336,194,825,5477,6559,79,1522,836,491,176,184,1643,373,2611,406,2895,2129,335,5157,5,138,52,3,763,2089,284
Jun2003,38,1338,279,447,1773,4086,36,745,349,264,65,92,496,318,998,39,1326,1178,152,3055,3,120,125,5,562,518,87
Jul2003,17,883,647,235,889,1648,39,232,200,208,21,65,96,258,634,9,597,524,77,961,2,90,748,1,297,187,34
Aug2003,7,332,1130,89,437,739,19,75,155,138,6,41,80,295,395,4,373,249,62,352,4,48,1595,1,181,56,21
Sep2003,8,250,911,43,353,438,6,75,134,88,3,55,54,303,216,2,183,87,66,201,0,38,1346,0,101,29,29
Oct2003,27,254,279,43,379,466,13,96,212,54,10,138,59,561,207,6,142,54,123,136,1,66,521,1,91,37,87
Nov2003,48,218,166,53,326,504,9,121,262,82,21,666,190,674,158,12,186,39,391,145,2,222,214,3,84,64,202
Dec2003,53,127,99,105,416,351,44,250,340,151,36,799,328,856,174,50,266,73,487,281,3,256,116,3,109,483,154
Jan2004,88,188,208,128,426,364,62,317,868,172,99,472,984,1652,129,734,307,81,273,289,4,376,59,4,62,598,252
Feb2004,134,315,238,159,720,652,74,505,1199,273,57,394,2349,1178,254,2163,583,126,164,287,5,302,42,3,69,1024,253
Mar2004,47,608,444,134,1224,464,50,954,1258,246,35,336,5517,829,213,5485,507,171,168,412,6,244,29,3,67,604,193
Apr2004,26,808,289,112,666,253,22,635,917,162,44,230,2600,380,140,2197,303,57,79,343,2,98,15,2,42,918,172
May2004,61,877,222,119,568,348,14,557,639,176,46,131,1665,292,158,406,193,52,44,323,0,56,26,2,46,918,137
Jun2004,51,437,237,56,352,468,7,207,225,137,10,66,392,172,141,39,161,58,36,232,3,41,15,0,42,208,72
Jul2004,44,370,234,66,195,392,11,123,103,83,6,29,77,159,105,9,134,55,25,234,0,29,24,0,29,75,27
Aug2004,40,238,211,46,89,409,4,63,67,82,5,15,30,195,92,4,96,117,56,240,1,32,42,0,24,35,27
Sep2004,96,166,230,20,56,227,3,27,67,32,3,13,17,166,39,2,61,62,79,103,0,38,70,0,26,42,24
Oct2004,397,251,150,24,31,182,6,24,87,64,3,129,24,201,45,6,62,33,96,65,0,107,67,2,9,26,68
Nov2004,2025,159,103,40,86,168,3,35,184,89,5,269,51,258,23,12,63,43,146,139,0,713,95,1,13,51,169
Dec2004,1506,104,145,34,152,103,5,77,283,146,15,322,195,375,20,50,70,18,242,155,0,1175,85,2,24,86,175
Jan2005,1473,83,182,76,822,1204,36,155,710,331,12,516,252,896,158,35,88,182,130,276,11,1980,90,4,12,236,453
Feb2005,489,322,388,108,1726,1485,45,351,1595,603,53,915,784,1509,359,27,146,263,98,356,6,1350,148,8,22,428,584
Mar2005,187,263,546,180,4813,1293,63,498,2947,1040,157,1163,2154,1488,894,21,291,512,68,660,4,1120,211,8,65,1039,492
Apr2005,49,288,388,210,4764,1318,67,472,4305,793,169,1029,3327,723,1411,43,1335,499,71,676,3,360,193,4,59,1648,433
May2005,17,395,361,185,3045,2569,44,520,3372,1325,86,626,2349,578,1085,9,1391,715,60,809,8,126,327,10,84,1557,656
Jun2005,16,284,160,115,990,4058,24,314,1493,1023,67,349,788,366,655,3,809,984,58,630,4,83,830,4,121,1060,333
Jul2005,10,275,149,58,468,6222,41,136,453,814,17,124,210,255,508,1,659,724,49,585,2,69,362,3,110,507,113
Aug2005,6,230,161,33,321,5152,20,85,352,364,13,65,175,322,364,2,356,418,103,591,4,48,102,2,53,233,58
Sep2005,0,172,103,10,270,2481,10,43,293,202,11,74,82,370,254,5,284,120,84,360,0,27,26,3,35,134,22
Oct2005,7,139,56,3,256,1027,10,82,581,85,8,200,148,477,127,4,206,72,116,223,0,52,19,2,33,130,18
Nov2005,28,113,96,16,311,969,10,44,1158,94,8,786,406,640,110,10,207,59,184,157,0,227,44,0,55,328,93
Dec2005,263,78,66,17,388,699,15,34,1542,70,22,537,632,566,126,10,164,19,404,121,3,688,23,2,34,266,148
Jan2006,108,186,554,76,591,1019,81,515,4605,374,159,927,2809,1848,245,44,700,250,2235,264,5,1966,32,4,62,1573,507
Feb2006,60,203,454,86,745,1150,50,1225,4817,543,558,993,4919,1163,212,55,741,280,4299,316,16,1446,12,9,59,4286,684
Mar2006,50,152,349,133,1307,1974,85,2006,5136,510,2742,1562,8079,1103,371,262,1530,461,8633,570,11,422,5,14,94,16927,1092
Apr2006,38,138,124,66,1483,3073,102,2672,4834,575,3737,959,8490,720,464,375,1390,433,7207,726,10,139,22,10,190,27055,1031
May2006,14,259,104,52,1119,6149,80,2568,2712,778,1428,650,5337,594,329,185,2317,807,3202,1064,13,64,98,10,255,11214,1057
Jun2006,26,355,65,36,390,5829,31,698,661,340,357,261,1051,315,324,79,1804,1335,1013,1828,6,34,134,3,129,2189,287
Jul2006,52,542,52,32,213,4143,24,224,206,223,116,181,268,134,337,20,1410,543,397,1648,,16,222,1,94,755,100
Aug2006,48,642,59,41,183,2292,18,126,108,208,59,243,168,151,284,19,997,317,258,772,2,17,219,2,64,513,100
Sep2006,19,244,10,45,125,470,10,75,34,18,108,88,170,134,143,3,358,120,105,234,1,11,227,1,31,468,27
Oct2006,9,8,5,38,19,73,2,6,6,24,195,41,48,17,1,6,25,16,13,2,,7,36,,2,475,47
Nov2006,0,40,51,13,46,88,15,35,240,0,10,104,199,212,17,27,141,21,171,22,,188,3,,6,136,0
Dec2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
