Dengue cases,AC,AL,AP,AM,BA,CE,DF,ES,GO,MA,MS,MT,MG,PA,PB,PR,PE,PI,RJ,RN,RS,RO,RR,SC,SE,SP,TO
Jul1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oct1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nov1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dec1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan1988,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0
Feb1988,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0
Mar1988,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0
Apr1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0
May1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0
Jun1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0
Jul1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
Aug1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0
Sep1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0
Oct1988,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
Nov1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0
Dec1988,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0
Jan1989,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,3,0,123,0,0,0,0,0,0,0,0
Feb1989,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,99,0,0,0,0,0,0,0,0
Mar1989,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,93,0,0,0,0,0,0,4,0
Apr1989,0,7,0,0,0,392,0,0,0,0,0,0,0,0,0,0,4,0,213,0,0,0,0,0,0,2,0
May1989,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,12,0,160,0,0,0,0,0,0,2,0
Jun1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,2,0
Jul1989,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0
Aug1989,0,24,0,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
Sep1989,0,1,0,0,0,571,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
Oct1989,0,2,0,0,0,831,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
Nov1989,0,0,0,0,0,808,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0
Dec1989,0,3,0,0,0,1081,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0
Jan1990,0,8,0,0,0,244,0,0,0,0,24,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0
Feb1990,0,6,0,0,0,779,0,0,0,0,54,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0
Mar1990,0,15,0,0,0,558,0,0,0,0,38,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0
Apr1990,0,1,0,0,0,364,0,0,0,0,320,0,0,0,0,0,0,0,1140,0,0,0,0,0,0,1,0
May1990,0,3,0,0,0,1193,0,0,0,0,429,0,0,0,0,0,0,0,2423,0,0,0,0,0,0,6,0
Jun1990,0,5,0,0,0,1709,0,0,0,0,137,0,0,0,0,0,0,0,2383,0,0,0,0,0,0,4,0
Jul1990,0,0,0,0,0,1773,0,0,0,0,89,0,0,0,0,0,0,0,2341,0,0,0,0,0,0,0,0
Aug1990,0,8,0,0,0,3104,0,0,0,0,35,0,0,0,0,0,0,0,779,0,0,0,0,0,0,0,0
Sep1990,0,68,0,0,0,1942,0,0,0,0,2,0,0,0,0,0,0,0,406,0,0,0,0,0,0,0,0
Oct1990,0,41,0,0,0,695,0,0,0,0,12,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0
Nov1990,0,66,0,0,0,2250,0,0,0,0,5,0,0,0,0,0,0,0,2798,0,0,0,0,0,0,16,0
Dec1990,0,73,0,0,0,1045,0,0,0,0,461,0,0,0,0,0,0,0,6813,0,0,0,0,0,0,2054,0
Jan1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jul1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oct1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nov1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dec1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,0,0,0,0,0,0,0,0
Feb1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0
Mar1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0
Apr1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0
May1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0
Jun1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0
Jul1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0
Aug1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0
Sep1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0
Oct1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0
Nov1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0
Dec1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0
Jan1993,0,41,0,0,0,3,0,0,0,0,10,285,34,0,0,0,0,0,62,0,0,0,0,0,0,25,0
Feb1993,0,46,0,0,0,3,0,0,0,0,18,113,1413,0,0,0,0,0,50,0,0,0,0,0,0,50,0
Mar1993,0,114,0,0,0,1,0,0,0,0,72,178,1851,0,0,0,0,0,300,0,0,0,0,0,0,23,0
Apr1993,0,60,0,0,0,0,0,0,0,0,231,272,441,0,0,0,0,0,43,0,0,0,0,0,0,67,0
May1993,0,139,0,0,0,0,0,0,0,0,99,11,115,0,0,0,0,0,18,0,0,0,0,0,0,322,0
Jun1993,0,142,0,0,0,0,0,0,0,0,33,22,9,0,0,0,0,0,8,0,0,0,0,0,0,136,0
Jul1993,0,63,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,9,0,0,0,0,0,0,8,0
Aug1993,0,73,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
Sep1993,0,45,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
