report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,1490,4,10,3,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,5604,0,2,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,3436,0,4,0,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,673,0,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,5554,8,23,3,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,2580,15,22,2,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,7110,3,26,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,6341,20,34,7,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,6807,19,38,2,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,59074,80,574,30,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,21194,3,40,2,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,18018,8,48,3,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,68510,10,43,10,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,13846,3,50,1,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,3308,1,2,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,42476,16,22,8,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,166360,89,777,43,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,16477,28,251,7,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,49480,34,195,14,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,637029,557,11636,372,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,46694,74,314,22,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,4402,1,106,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,1607,2,9,2,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,18633,10,109,7,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,13700,7,21,3,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,121501,134,976,59,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,8502,18,70,14,cases
