report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,1428,2,9,2,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,12166,0,12,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,5986,6,9,7,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,899,2,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,4117,2,21,2,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,1266,2,7,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,3389,3,45,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,2283,13,45,11,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,7060,11,22,4,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,21357,50,202,34,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,9652,17,103,15,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,5045,7,48,7,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,9837,17,25,14,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,11178,15,177,1,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,2076,7,10,3,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,13206,28,97,10,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,58867,45,635,43,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,18040,24,278,9,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,6978,11,76,7,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,217584,178,4921,79,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,23371,37,203,12,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,121,0,1,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,141,0,1,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,3138,3,57,3,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,6407,3,26,3,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,86189,114,563,66,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,11819,36,136,18,cases
