report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,1609,2,9,2,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,22987,0,16,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,6135,8,10,9,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,1074,2,2,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,4493,1,24,2,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,1757,2,7,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,3638,3,48,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,2366,16,48,13,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,7501,11,22,5,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,21965,56,200,45,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,10509,19,117,16,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,5261,10,80,8,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,10182,19,32,25,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,12561,17,227,2,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,2209,9,11,4,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,13764,30,106,12,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,58035,45,657,43,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,18681,28,303,13,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,7396,16,81,9,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,221085,186,4957,84,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,23617,40,227,12,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,132,0,1,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,140,0,1,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,3395,3,59,3,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,6780,4,27,4,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,87746,104,615,68,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,11588,36,136,18,cases
