report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,2969,0,3,1,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,4502,0,2,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,7572,2,8,3,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,608,0,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,5626,0,15,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,943,1,0,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,7304,1,20,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,1819,7,20,5,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,4222,8,12,1,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,17988,10,119,11,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,6612,1,56,1,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,4086,7,11,2,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,8094,7,2,7,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,5086,2,37,0,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,1883,6,7,3,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,13644,14,57,8,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,72755,27,425,22,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,16292,8,155,6,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,8909,7,50,7,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,247209,102,2934,40,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,41334,15,146,9,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,389,0,1,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,397,0,1,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,6255,3,35,3,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,7672,2,29,4,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,83508,52,396,36,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,12326,27,23,8,cases
