report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,2969,1,3,1,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,3973,0,2,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,7324,2,7,3,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,559,0,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,5483,0,10,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,889,1,0,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,6685,0,16,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,1680,5,20,5,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,3685,7,10,1,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,16503,11,114,11,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,6143,1,42,1,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,3855,5,11,2,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,4836,7,0,7,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,4474,2,27,0,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,1685,5,5,3,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,12921,14,55,7,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,69640,26,368,21,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,15172,8,143,4,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,8373,6,52,7,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,229971,86,2564,40,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,40222,15,137,9,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,382,0,1,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,393,0,1,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,6073,3,22,3,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,7263,3,24,4,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,79163,48,353,29,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,11186,17,20,8,cases
