report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,1809,2,9,2,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,24456,0,16,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,6205,8,10,9,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,1076,2,2,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,4571,2,24,3,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,1809,2,7,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,3679,3,48,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,2373,16,49,11,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,7539,11,22,5,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,22156,57,203,46,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,10547,19,117,16,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,5325,10,81,8,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,10286,19,33,25,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,12715,17,238,2,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,2233,9,11,4,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,13889,30,106,12,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,58310,46,658,43,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,18804,28,304,13,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,7437,17,81,9,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,222339,187,4959,86,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,23798,40,227,12,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,134,0,1,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,167,0,1,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,3437,3,59,3,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,6850,4,26,4,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,88747,105,619,68,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,11617,36,136,18,cases
