report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,487,0,2,0,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,2526,1,4,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,2105,2,8,2,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,167,0,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,4088,1,3,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,626,0,6,0,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,2164,5,43,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,1886,5,27,2,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,1556,2,1,1,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,4513,10,10,10,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,19875,26,313,1,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,9995,14,126,11,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,10288,10,64,1,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,1686,2,30,0,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,182,0,2,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,7893,2,19,2,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,23558,19,110,8,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,7570,13,197,4,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,13190,7,38,2,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,13178,10,38,6,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,1603,3,17,2,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,203,0,0,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,104,0,1,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,2038,0,4,0,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,6211,4,13,3,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,63777,90,1382,52,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,1688,3,8,1,cases
