report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,1409,2,9,2,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,7907,0,8,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,5931,6,9,7,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,850,1,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,3952,0,23,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,1204,2,5,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,3388,3,47,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,2208,13,37,11,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,6878,11,21,4,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,20963,49,201,36,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,9453,16,102,14,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,4901,7,45,7,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,9821,13,22,13,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,10637,10,144,1,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,2118,7,10,3,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,12782,28,97,10,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,59018,44,625,44,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,17655,24,275,9,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,6815,9,72,7,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,216732,179,4906,77,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,23926,37,202,12,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,119,0,1,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,145,0,1,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,3047,3,54,3,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,6196,3,27,3,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,85029,106,553,66,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,11703,37,136,18,cases
