report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,1568,2,9,2,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,21250,0,14,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,6013,6,10,7,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,1057,2,2,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,4364,1,23,2,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,1680,2,7,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,3540,3,47,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,2337,16,48,13,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,7407,11,22,5,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,21885,54,200,43,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,10346,19,117,16,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,5182,10,63,8,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,10243,19,32,25,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,12378,17,227,2,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,2194,8,11,4,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,13633,30,104,12,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,57796,45,656,43,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,18529,28,291,13,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,7319,16,73,9,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,219956,186,4954,85,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,23585,40,224,12,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,125,0,1,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,139,0,1,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,3324,3,59,3,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,6675,4,27,4,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,87142,105,614,68,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,11572,36,136,18,cases
