report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,1565,5,10,3,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,5359,0,2,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,3906,2,6,2,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,1090,0,8,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,7467,11,32,5,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,2971,16,29,2,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,7109,9,17,4,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,7035,23,40,8,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,7474,19,41,2,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,63719,114,647,60,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,21790,3,44,2,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,19868,8,75,3,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,81180,18,70,13,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,18689,11,79,3,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,5540,5,2,2,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,48546,26,32,11,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,177345,121,938,59,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,24639,38,419,10,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,57904,41,256,20,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,705441,613,12802,445,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,45274,94,347,25,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,4426,1,109,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,1636,2,9,2,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,20798,11,157,9,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,16375,12,34,5,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,147308,220,2322,75,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,9105,24,74,19,cases
