report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,2201,3,2,2,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,8413,0,3,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,2751,0,4,0,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,510,0,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,4822,3,9,1,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,1748,10,9,0,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,6585,1,4,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,4092,3,14,0,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,2856,0,14,0,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,20913,19,116,6,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,12394,1,9,1,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,5427,1,4,1,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,24340,2,8,1,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,4055,0,15,0,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,2768,1,1,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,20746,2,7,1,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,60838,16,193,8,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,4750,8,48,4,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,22484,18,70,5,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,401564,233,4700,169,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,40203,24,136,8,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,4320,0,49,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,1837,1,7,1,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,12125,3,29,2,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,6434,3,2,1,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,63203,48,301,15,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,3578,4,16,3,cases
