report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,2185,3,1,0,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,1284,0,0,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,3272,2,11,1,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,683,0,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,6887,1,7,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,762,1,7,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,5355,0,94,2,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,6251,9,30,4,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,4265,2,7,0,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,43636,14,83,10,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,5100,2,6,0,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,2420,3,5,0,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,7431,9,25,3,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,2347,2,5,1,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,503,0,1,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,8494,2,12,0,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,25484,17,103,13,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,5876,9,76,4,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,8764,4,70,4,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,7166,9,44,4,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,2117,0,5,0,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,196,0,0,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,142,1,0,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,1338,1,23,3,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,7424,3,14,3,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,51918,62,1116,22,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,3690,13,75,8,cases
,,,,,,,214990,169,1821,83,
