report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Acre,state,dengue_reported,NA,NA,NA,2712,0,0,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,1390,2,13,1,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,7323,2,6,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,9451,2,32,0,cases
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,7460,4,7,2,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,191,0,1,0,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,7693,0,9,0,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,14473,2,13,2,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,59417,2,9,2,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,44086,21,95,11,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,19586,4,28,7,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,34899,5,44,4,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,61889,6,29,7,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,4411,2,4,1,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,52362,4,43,5,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,3913,0,1,0,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,39002,37,331,13,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,524876,215,1580,176,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,71951,18,117,10,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,201571,79,889,75,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,67749,116,509,62,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,3476,7,35,1,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,5240,2,61,2,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,16476,26,384,13,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,88481,62,1878,6,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,17907,5,10,4,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,31495,16,125,15,cases
