report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,2023,2,9,2,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,28507,1,17,2,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,6385,8,10,9,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,1137,2,3,1,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,4734,3,24,3,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,1964,2,9,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,3882,3,51,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,2432,16,52,11,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,7637,11,23,5,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,22695,57,206,45,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,11126,19,119,17,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,5486,11,92,8,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,10470,19,35,25,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,13199,17,249,2,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,2235,9,10,4,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,14119,30,104,12,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,59008,45,661,44,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,19106,28,312,13,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,7696,18,85,9,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,224820,190,4972,86,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,23774,40,228,12,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,136,0,1,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,144,0,1,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,3537,4,61,4,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,7145,4,20,4,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,91130,108,636,70,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,11655,34,136,16,cases
