report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,7669,4,4,2,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,3323,0,0,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,5211,1,2,0,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,122,0,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,6530,2,17,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,1045,0,8,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,7639,1,6,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,16416,3,18,6,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,2674,2,2,0,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,23781,5,33,1,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,43798,4,40,7,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,27931,1,16,2,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,55718,4,11,5,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,8628,1,8,0,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,3868,0,1,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,52356,3,8,2,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,421532,130,1052,66,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,35372,15,180,2,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,56120,9,69,6,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,191633,58,608,50,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,75603,68,489,48,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,5163,2,70,1,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,3881,5,12,1,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,26970,15,69,14,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,17100,4,8,3,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,69171,54,1380,17,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,12996,15,204,6,cases
