"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Dengue","Brazil","Bahia","state",2002-01-01,2002-01-31,5151,5151,"total=5151","total=5151","TabnetTotal",""
"Dengue","Brazil","Bahia","state",2002-01-01,2002-02-28,17766,22917,"total=17766","total=22917","TabnetTotal",""
"Dengue","Brazil","Bahia","state",2002-01-01,2002-03-31,27352,50269,"total=27352","total=50269","TabnetTotal",""
"Dengue","Brazil","Bahia","state",2002-01-01,2002-04-30,15032,65301,"total=15032","total=65301","TabnetTotal",""
"Dengue","Brazil","Bahia","state",2002-01-01,2002-05-31,5054,70355,"total=5054","total=70355","TabnetTotal",""
"Dengue","Brazil","Bahia","state",2002-01-01,2002-06-30,1681,72036,"total=1681","total=72036","TabnetTotal",""
"Dengue","Brazil","Bahia","state",2002-01-01,2002-07-31,997,73033,"total=997","total=73033","TabnetTotal",""
"Dengue","Brazil","Bahia","state",2002-01-01,2002-08-31,838,73871,"total=838","total=73871","TabnetTotal",""
"Dengue","Brazil","Bahia","state",2002-01-01,2002-09-30,931,74802,"total=931","total=74802","TabnetTotal",""
"Dengue","Brazil","Bahia","state",2002-01-01,2002-10-31,841,75643,"total=841","total=75643","TabnetTotal",""
"Dengue","Brazil","Bahia","state",2002-01-01,2002-11-30,837,76480,"total=837","total=76480","TabnetTotal",""
"Dengue","Brazil","Bahia","state",2002-01-01,2002-12-31,1013,77493,"total=1013","total=77493","TabnetTotal",""
"Dengue","Brazil","Ceara","state",2002-01-01,2002-01-31,1678,1678,"total=1678","total=1678","TabnetTotal",""
"Dengue","Brazil","Ceara","state",2002-01-01,2002-02-28,3712,5390,"total=3712","total=5390","TabnetTotal",""
"Dengue","Brazil","Ceara","state",2002-01-01,2002-03-31,3852,9242,"total=3852","total=9242","TabnetTotal",""
"Dengue","Brazil","Ceara","state",2002-01-01,2002-04-30,2326,11568,"total=2326","total=11568","TabnetTotal",""
"Dengue","Brazil","Ceara","state",2002-01-01,2002-05-31,1615,13183,"total=1615","total=13183","TabnetTotal",""
"Dengue","Brazil","Ceara","state",2002-01-01,2002-06-30,1336,14519,"total=1336","total=14519","TabnetTotal",""
"Dengue","Brazil","Ceara","state",2002-01-01,2002-07-31,1197,15716,"total=1197","total=15716","TabnetTotal",""
"Dengue","Brazil","Ceara","state",2002-01-01,2002-08-31,1047,16763,"total=1047","total=16763","TabnetTotal",""
"Dengue","Brazil","Ceara","state",2002-01-01,2002-09-30,597,17360,"total=597","total=17360","TabnetTotal",""
"Dengue","Brazil","Ceara","state",2002-01-01,2002-10-31,743,18103,"total=743","total=18103","TabnetTotal",""
"Dengue","Brazil","Ceara","state",2002-01-01,2002-11-30,889,18992,"total=889","total=18992","TabnetTotal",""
"Dengue","Brazil","Ceara","state",2002-01-01,2002-12-31,676,19668,"total=676","total=19668","TabnetTotal",""
"Dengue","Brazil","Distrito Federal","state",2002-01-01,2002-01-31,695,695,"total=695","total=695","TabnetTotal",""
"Dengue","Brazil","Distrito Federal","state",2002-01-01,2002-02-28,1112,1807,"total=1112","total=1807","TabnetTotal",""
"Dengue","Brazil","Distrito Federal","state",2002-01-01,2002-03-31,968,2775,"total=968","total=2775","TabnetTotal",""
"Dengue","Brazil","Distrito Federal","state",2002-01-01,2002-04-30,361,3136,"total=361","total=3136","TabnetTotal",""
"Dengue","Brazil","Distrito Federal","state",2002-01-01,2002-05-31,131,3267,"total=131","total=3267","TabnetTotal",""
"Dengue","Brazil","Distrito Federal","state",2002-01-01,2002-06-30,34,3301,"total=34","total=3301","TabnetTotal",""
"Dengue","Brazil","Distrito Federal","state",2002-01-01,2002-07-31,32,3333,"total=32","total=3333","TabnetTotal",""
"Dengue","Brazil","Distrito Federal","state",2002-01-01,2002-08-31,31,3364,"total=31","total=3364","TabnetTotal",""
"Dengue","Brazil","Distrito Federal","state",2002-01-01,2002-09-30,6,3370,"total=6","total=3370","TabnetTotal",""
"Dengue","Brazil","Distrito Federal","state",2002-01-01,2002-10-31,21,3391,"total=21","total=3391","TabnetTotal",""
"Dengue","Brazil","Distrito Federal","state",2002-01-01,2002-11-30,42,3433,"total=42","total=3433","TabnetTotal",""
"Dengue","Brazil","Distrito Federal","state",2002-01-01,2002-12-31,89,3522,"total=89","total=3522","TabnetTotal",""
"Dengue","Brazil","Espirito Santo","state",2002-01-01,2002-01-31,1788,1788,"total=1788","total=1788","TabnetTotal",""
"Dengue","Brazil","Espirito Santo","state",2002-01-01,2002-02-28,6538,8326,"total=6538","total=8326","TabnetTotal",""
"Dengue","Brazil","Espirito Santo","state",2002-01-01,2002-03-31,8812,17138,"total=8812","total=17138","TabnetTotal",""
"Dengue","Brazil","Espirito Santo","state",2002-01-01,2002-04-30,3602,20740,"total=3602","total=20740","TabnetTotal",""
"Dengue","Brazil","Espirito Santo","state",2002-01-01,2002-05-31,1671,22411,"total=1671","total=22411","TabnetTotal",""
"Dengue","Brazil","Espirito Santo","state",2002-01-01,2002-06-30,840,23251,"total=840","total=23251","TabnetTotal",""
"Dengue","Brazil","Espirito Santo","state",2002-01-01,2002-07-31,425,23676,"total=425","total=23676","TabnetTotal",""
"Dengue","Brazil","Espirito Santo","state",2002-01-01,2002-08-31,295,23971,"total=295","total=23971","TabnetTotal",""
"Dengue","Brazil","Espirito Santo","state",2002-01-01,2002-09-30,224,24195,"total=224","total=24195","TabnetTotal",""
"Dengue","Brazil","Espirito Santo","state",2002-01-01,2002-10-31,243,24438,"total=243","total=24438","TabnetTotal",""
"Dengue","Brazil","Espirito Santo","state",2002-01-01,2002-11-30,423,24861,"total=423","total=24861","TabnetTotal",""
"Dengue","Brazil","Espirito Santo","state",2002-01-01,2002-12-31,604,25465,"total=604","total=25465","TabnetTotal",""
"Dengue","Brazil","Goias","state",2002-01-01,2002-01-31,3926,3926,"total=3926","total=3926","TabnetTotal",""
"Dengue","Brazil","Goias","state",2002-01-01,2002-02-28,8296,12222,"total=8296","total=12222","TabnetTotal",""
"Dengue","Brazil","Goias","state",2002-01-01,2002-03-31,5562,17784,"total=5562","total=17784","TabnetTotal",""
"Dengue","Brazil","Goias","state",2002-01-01,2002-04-30,1710,19494,"total=1710","total=19494","TabnetTotal",""
"Dengue","Brazil","Goias","state",2002-01-01,2002-05-31,619,20113,"total=619","total=20113","TabnetTotal",""
"Dengue","Brazil","Goias","state",2002-01-01,2002-06-30,170,20283,"total=170","total=20283","TabnetTotal",""
"Dengue","Brazil","Goias","state",2002-01-01,2002-07-31,147,20430,"total=147","total=20430","TabnetTotal",""
"Dengue","Brazil","Goias","state",2002-01-01,2002-08-31,264,20694,"total=264","total=20694","TabnetTotal",""
"Dengue","Brazil","Goias","state",2002-01-01,2002-09-30,271,20965,"total=271","total=20965","TabnetTotal",""
"Dengue","Brazil","Goias","state",2002-01-01,2002-10-31,138,21103,"total=138","total=21103","TabnetTotal",""
"Dengue","Brazil","Goias","state",2002-01-01,2002-11-30,367,21470,"total=367","total=21470","TabnetTotal",""
"Dengue","Brazil","Goias","state",2002-01-01,2002-12-31,471,21941,"total=471","total=21941","TabnetTotal",""
"Dengue","Brazil","Ignorado/exterior","state",2002-01-01,2002-01-31,0,0,"total=0","total=0","TabnetTotal",""
"Dengue","Brazil","Ignorado/exterior","state",2002-01-01,2002-02-28,0,0,"total=0","total=0","TabnetTotal",""
"Dengue","Brazil","Ignorado/exterior","state",2002-01-01,2002-03-31,0,0,"total=0","total=0","TabnetTotal",""
"Dengue","Brazil","Ignorado/exterior","state",2002-01-01,2002-04-30,0,0,"total=0","total=0","TabnetTotal",""
"Dengue","Brazil","Ignorado/exterior","state",2002-01-01,2002-05-31,0,0,"total=0","total=0","TabnetTotal",""
"Dengue","Brazil","Ignorado/exterior","state",2002-01-01,2002-06-30,0,0,"total=0","total=0","TabnetTotal",""
"Dengue","Brazil","Ignorado/exterior","state",2002-01-01,2002-07-31,0,0,"total=0","total=0","TabnetTotal",""
"Dengue","Brazil","Ignorado/exterior","state",2002-01-01,2002-08-31,0,0,"total=0","total=0","TabnetTotal",""
"Dengue","Brazil","Ignorado/exterior","state",2002-01-01,2002-09-30,0,0,"total=0","total=0","TabnetTotal",""
"Dengue","Brazil","Ignorado/exterior","state",2002-01-01,2002-10-31,0,0,"total=0","total=0","TabnetTotal",""
"Dengue","Brazil","Ignorado/exterior","state",2002-01-01,2002-11-30,0,0,"total=0","total=0","TabnetTotal",""
"Dengue","Brazil","Ignorado/exterior","state",2002-01-01,2002-12-31,0,0,"total=0","total=0","TabnetTotal",""
"Dengue","Brazil","Maranhao","state",2002-01-01,2002-01-31,773,773,"total=773","total=773","TabnetTotal",""
"Dengue","Brazil","Maranhao","state",2002-01-01,2002-02-28,1872,2645,"total=1872","total=2645","TabnetTotal",""
"Dengue","Brazil","Maranhao","state",2002-01-01,2002-03-31,1786,4431,"total=1786","total=4431","TabnetTotal",""
"Dengue","Brazil","Maranhao","state",2002-01-01,2002-04-30,852,5283,"total=852","total=5283","TabnetTotal",""
"Dengue","Brazil","Maranhao","state",2002-01-01,2002-05-31,580,5863,"total=580","total=5863","TabnetTotal",""
"Dengue","Brazil","Maranhao","state",2002-01-01,2002-06-30,339,6202,"total=339","total=6202","TabnetTotal",""
"Dengue","Brazil","Maranhao","state",2002-01-01,2002-07-31,290,6492,"total=290","total=6492","TabnetTotal",""
"Dengue","Brazil","Maranhao","state",2002-01-01,2002-08-31,345,6837,"total=345","total=6837","TabnetTotal",""
"Dengue","Brazil","Maranhao","state",2002-01-01,2002-09-30,232,7069,"total=232","total=7069","TabnetTotal",""
"Dengue","Brazil","Maranhao","state",2002-01-01,2002-10-31,431,7500,"total=431","total=7500","TabnetTotal",""
"Dengue","Brazil","Maranhao","state",2002-01-01,2002-11-30,480,7980,"total=480","total=7980","TabnetTotal",""
"Dengue","Brazil","Maranhao","state",2002-01-01,2002-12-31,408,8388,"total=408","total=8388","TabnetTotal",""
"Dengue","Brazil","Mato Grosso","state",2002-01-01,2002-01-31,2493,2493,"total=2493","total=2493","TabnetTotal",""
"Dengue","Brazil","Mato Grosso","state",2002-01-01,2002-02-28,2332,4825,"total=2332","total=4825","TabnetTotal",""
"Dengue","Brazil","Mato Grosso","state",2002-01-01,2002-03-31,1504,6329,"total=1504","total=6329","TabnetTotal",""
"Dengue","Brazil","Mato Grosso","state",2002-01-01,2002-04-30,593,6922,"total=593","total=6922","TabnetTotal",""
"Dengue","Brazil","Mato Grosso","state",2002-01-01,2002-05-31,307,7229,"total=307","total=7229","TabnetTotal",""
"Dengue","Brazil","Mato Grosso","state",2002-01-01,2002-06-30,170,7399,"total=170","total=7399","TabnetTotal",""
"Dengue","Brazil","Mato Grosso","state",2002-01-01,2002-07-31,78,7477,"total=78","total=7477","TabnetTotal",""
"Dengue","Brazil","Mato Grosso","state",2002-01-01,2002-08-31,51,7528,"total=51","total=7528","TabnetTotal",""
"Dengue","Brazil","Mato Grosso","state",2002-01-01,2002-09-30,69,7597,"total=69","total=7597","TabnetTotal",""
"Dengue","Brazil","Mato Grosso","state",2002-01-01,2002-10-31,226,7823,"total=226","total=7823","TabnetTotal",""
"Dengue","Brazil","Mato Grosso","state",2002-01-01,2002-11-30,501,8324,"total=501","total=8324","TabnetTotal",""
"Dengue","Brazil","Mato Grosso","state",2002-01-01,2002-12-31,979,9303,"total=979","total=9303","TabnetTotal",""
"Dengue","Brazil","Mato Grosso do Sul","state",2002-01-01,2002-01-31,4393,4393,"total=4393","total=4393","TabnetTotal",""
"Dengue","Brazil","Mato Grosso do Sul","state",2002-01-01,2002-02-28,4127,8520,"total=4127","total=8520","TabnetTotal",""
"Dengue","Brazil","Mato Grosso do Sul","state",2002-01-01,2002-03-31,2294,10814,"total=2294","total=10814","TabnetTotal",""
"Dengue","Brazil","Mato Grosso do Sul","state",2002-01-01,2002-04-30,832,11646,"total=832","total=11646","TabnetTotal",""
"Dengue","Brazil","Mato Grosso do Sul","state",2002-01-01,2002-05-31,256,11902,"total=256","total=11902","TabnetTotal",""
"Dengue","Brazil","Mato Grosso do Sul","state",2002-01-01,2002-06-30,77,11979,"total=77","total=11979","TabnetTotal",""
"Dengue","Brazil","Mato Grosso do Sul","state",2002-01-01,2002-07-31,26,12005,"total=26","total=12005","TabnetTotal",""
"Dengue","Brazil","Mato Grosso do Sul","state",2002-01-01,2002-08-31,42,12047,"total=42","total=12047","TabnetTotal",""
"Dengue","Brazil","Mato Grosso do Sul","state",2002-01-01,2002-09-30,21,12068,"total=21","total=12068","TabnetTotal",""
"Dengue","Brazil","Mato Grosso do Sul","state",2002-01-01,2002-10-31,13,12081,"total=13","total=12081","TabnetTotal",""
"Dengue","Brazil","Mato Grosso do Sul","state",2002-01-01,2002-11-30,45,12126,"total=45","total=12126","TabnetTotal",""
"Dengue","Brazil","Mato Grosso do Sul","state",2002-01-01,2002-12-31,150,12276,"total=150","total=12276","TabnetTotal",""
"Dengue","Brazil","Minas Gerais","state",2002-01-01,2002-01-31,4733,4733,"total=4733","total=4733","TabnetTotal",""
