"pathogen","country","location","locationType","dateStart","dateEnd","countCumu","sevCountCumu","source","notes"
"Microcephaly","Brazil","Alagoas","state",2016-01-01,2016-01-09,52,"total=52;discard=NA;pending=NA;confirm=NA","Microcephaly",""
"Microcephaly","Brazil","Bahia","state",2016-01-01,2016-01-09,83,"total=83;discard=NA;pending=NA;confirm=NA","Microcephaly",""
"Microcephaly","Brazil","Ceara","state",2016-01-01,2016-01-09,48,"total=48;discard=NA;pending=NA;confirm=NA","Microcephaly",""
"Microcephaly","Brazil","Maranhao","state",2016-01-01,2016-01-09,52,"total=52;discard=NA;pending=NA;confirm=NA","Microcephaly",""
"Microcephaly","Brazil","Paraiba","state",2016-01-01,2016-01-09,104,"total=104;discard=NA;pending=NA;confirm=NA","Microcephaly",""
"Microcephaly","Brazil","Pernambuco","state",2016-01-01,2016-01-09,152,"total=152;discard=NA;pending=NA;confirm=NA","Microcephaly",""
"Microcephaly","Brazil","Piaui","state",2016-01-01,2016-01-09,25,"total=25;discard=NA;pending=NA;confirm=NA","Microcephaly",""
"Microcephaly","Brazil","Rio_Grande_do_Norte","state",2016-01-01,2016-01-09,48,"total=48;discard=NA;pending=NA;confirm=NA","Microcephaly",""
"Microcephaly","Brazil","Sergipe","state",2016-01-01,2016-01-09,41,"total=41;discard=NA;pending=NA;confirm=NA","Microcephaly",""
"Microcephaly","Brazil","Espirito_Santo","state",2016-01-01,2016-01-09,11,"total=11;discard=NA;pending=NA;confirm=NA","Microcephaly",""
"Microcephaly","Brazil","Minas_Gerais","state",2016-01-01,2016-01-09,15,"total=15;discard=NA;pending=NA;confirm=NA","Microcephaly",""
"Microcephaly","Brazil","Rio_de_Janeiro","state",2016-01-01,2016-01-09,21,"total=21;discard=NA;pending=NA;confirm=NA","Microcephaly",""
"Microcephaly","Brazil","Sao_Paulo","state",2016-01-01,2016-01-09,10,"total=10;discard=NA;pending=NA;confirm=NA","Microcephaly",""
"Microcephaly","Brazil","Acre","state",2016-01-01,2016-01-09,NA,"total=NA;discard=NA;pending=NA;confirm=NA","Microcephaly",""
"Microcephaly","Brazil","Amapa","state",2016-01-01,2016-01-09,NA,"total=NA;discard=NA;pending=NA;confirm=NA","Microcephaly",""
"Microcephaly","Brazil","Amazonas","state",2016-01-01,2016-01-09,NA,"total=NA;discard=NA;pending=NA;confirm=NA","Microcephaly",""
