report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,6591,4,11,2,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,1747,0,0,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,5340,1,7,1,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,92,0,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,8111,2,31,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,1209,2,12,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,6486,0,13,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,21901,9,30,10,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,3669,4,4,1,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,24731,31,85,19,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,50906,4,44,13,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,29933,5,41,6,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,58140,9,50,25,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,13051,2,13,3,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,2564,0,1,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,57922,3,7,3,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,503919,257,1793,236,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,37360,36,314,15,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,77021,20,328,14,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,189524,106,1074,101,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,60117,117,519,61,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,4865,2,59,2,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,2948,7,34,1,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,43646,16,267,17,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,17240,6,12,5,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,107994,100,2401,30,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,15849,32,312,19,cases
,,,,,,,1352876,775,7463,585,
