report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,1852,3,1,0,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,1126,0,0,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,3159,4,11,3,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,250,0,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,7077,1,7,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,812,1,9,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,4508,2,96,2,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,6630,11,33,4,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,4850,2,7,0,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,37906,30,90,25,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,5662,8,8,8,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,2706,1,11,1,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,6142,13,33,7,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,2363,3,9,4,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,438,0,1,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,8455,3,12,1,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,23151,20,107,17,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,5795,14,82,8,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,8926,3,71,3,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,5735,11,48,5,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,1419,0,7,0,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,128,0,0,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,121,1,0,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,1379,2,25,3,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,7897,3,15,4,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,56139,98,1685,50,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,3446,15,77,10,cases
