report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,1985,2,9,2,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,28269,1,20,2,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,6661,7,8,8,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,1123,3,2,1,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,4496,5,25,5,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,2190,2,12,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,3652,3,31,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,2652,18,51,13,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,7657,12,25,5,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,22756,63,237,51,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,11498,24,135,22,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,5625,12,108,10,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,10488,23,50,32,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,13186,20,254,4,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,2246,9,10,4,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,13827,30,111,12,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,58177,49,670,51,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,18879,33,332,17,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,7717,20,97,10,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,226866,201,4989,94,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,22701,51,297,12,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,134,0,1,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,153,0,1,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,3423,4,67,4,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,7160,5,20,5,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,93929,134,740,93,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,11657,33,134,15,cases
