report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,1034,1,9,1,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,1251,0,2,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,4662,4,7,5,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,351,0,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,2934,1,14,1,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,829,2,1,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,2456,0,42,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,1399,11,28,8,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,3667,8,8,3,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,9790,30,92,26,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,5887,9,68,8,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,2919,7,26,6,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,5027,11,11,17,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,4714,3,67,1,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,981,6,5,2,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,8578,18,69,6,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,48382,40,571,37,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,11825,22,205,10,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,5008,6,63,6,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,188801,159,4411,72,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,19721,32,188,12,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,71,0,1,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,129,0,1,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,2357,3,53,3,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,5021,4,14,4,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,64066,74,474,45,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,9371,29,126,11,cases
