report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,6239,4,10,2,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,1618,0,0,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,3966,1,6,1,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,82,0,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,6840,2,29,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,999,1,10,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,5604,0,12,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,17712,7,25,8,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,2414,2,3,0,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,13548,27,38,16,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,46261,4,40,11,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,25617,2,38,4,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,55256,9,45,23,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,11096,2,13,3,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,2354,0,1,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,53310,3,6,3,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,433459,226,1606,202,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,34282,36,274,15,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,65188,15,293,11,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,167172,97,942,87,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,53994,113,493,55,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,4223,2,49,1,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,2307,5,16,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,41852,16,257,17,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,16496,6,12,5,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,94938,91,2272,25,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,13645,29,214,17,cases
,,,,,,,1180472,700,6705,507,
