report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,1315,1,9,1,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,3544,0,9,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,5504,7,8,8,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,742,0,0,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,3525,1,21,2,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,1215,2,5,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,2976,3,31,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,2078,16,38,12,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,6870,11,21,5,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,18630,53,188,43,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,9143,20,117,18,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,4713,9,61,7,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,8110,21,40,30,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,10319,16,202,4,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,1761,7,10,3,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,11625,28,99,11,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,54957,44,649,47,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,16159,28,292,13,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,6060,12,82,7,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,215632,187,4935,86,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,21486,49,280,12,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,88,0,1,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,144,0,1,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,2739,4,58,4,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,5821,5,20,5,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,81655,107,600,73,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,11408,33,133,15,cases
