report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,647,1,5,1,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,465,0,1,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,2949,2,4,3,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,182,0,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,1729,1,3,1,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,100,0,0,0,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,1555,0,29,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,617,6,14,6,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,890,2,3,0,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,4047,11,22,9,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,2196,2,18,1,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,1187,2,12,2,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,1448,6,6,11,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,1910,2,13,0,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,167,0,2,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,3021,8,30,1,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,20951,16,232,13,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,6685,9,135,3,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,3274,4,45,4,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,35141,37,604,15,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,7779,3,42,1,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,20,0,0,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,81,0,0,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,1391,2,35,2,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,3154,3,5,2,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,30411,32,305,20,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,3400,20,39,7,cases
