report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,1592,2,9,2,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,21113,0,19,1,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,6079,7,8,8,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,996,2,1,1,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,4170,4,24,4,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,1946,2,8,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,3276,3,31,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,2338,18,49,13,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,7424,11,24,5,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,21136,60,215,50,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,10507,22,128,20,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,5353,11,105,9,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,9267,22,46,32,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,12482,19,249,4,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,2024,9,10,4,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,13118,29,109,12,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,56620,47,663,50,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,17915,32,320,17,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,7085,18,86,9,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,219926,194,4963,89,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,22164,51,290,12,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,119,0,1,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,146,0,1,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,3060,4,60,4,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,6550,5,20,5,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,87531,123,674,86,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,11525,33,134,15,cases
