report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,997,4,7,2,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,4682,0,2,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,2462,0,3,0,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,376,0,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,4003,8,21,2,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,2395,15,17,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,4409,4,12,1,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,5671,19,30,4,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,5697,8,31,0,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,30892,76,403,21,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,18594,3,39,2,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,10503,8,48,1,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,56445,12,43,8,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,8099,1,47,0,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,2778,2,0,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,28808,12,11,4,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,136664,96,819,35,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,7623,24,191,6,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,40368,31,206,14,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,665425,578,12458,351,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,37592,88,310,20,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,3929,1,101,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,1455,2,9,2,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,17106,9,134,5,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,8909,7,24,2,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,116895,198,2324,37,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,6345,15,59,6,cases
