report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,1862,3,1,0,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,1137,0,0,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,3226,4,11,3,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,251,0,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,7106,1,7,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,814,1,9,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,4523,2,96,2,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,6668,11,33,4,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,4914,2,7,0,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,37991,30,91,25,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,5781,8,9,11,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,2782,1,11,1,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,6276,13,34,7,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,2399,3,9,4,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,446,0,1,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,8552,3,12,1,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,23254,20,110,17,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,5847,14,85,8,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,9002,3,71,3,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,5851,15,51,5,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,1446,1,7,0,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,130,0,0,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,123,1,0,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,1398,2,25,3,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,7946,3,15,4,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,56506,98,1698,51,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,3471,15,78,10,cases
