report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,6924,6,14,3,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,1933,0,0,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,6762,2,8,1,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,162,0,2,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,9515,2,35,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,1556,2,16,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,7215,0,15,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,23098,9,31,10,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,4880,5,7,1,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,44506,44,170,29,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,55589,13,45,23,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,34985,6,51,8,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,57608,7,61,24,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,17146,8,14,7,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,3046,1,1,1,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,63003,5,14,7,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,518712,269,1887,258,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,39440,44,363,19,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,82793,23,382,15,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,194855,115,1133,109,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,60899,118,525,63,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,4938,2,61,2,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,3046,7,34,1,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,44831,16,280,17,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,18321,7,15,5,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,119135,135,2989,52,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,17310,39,450,22,cases
,,,,,,,1442208,885,8603,678,
