report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,1728,3,0,0,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,860,0,0,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,2177,1,5,0,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,87,0,0,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,5720,1,5,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,607,1,6,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,2992,0,60,1,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,4580,7,17,3,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,1634,1,3,0,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,24250,15,71,12,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,3130,2,5,1,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,1146,1,2,0,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,2295,3,15,3,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,779,2,4,1,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,247,0,1,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,5800,0,11,0,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,17726,13,70,9,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,3902,7,63,3,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,5766,3,56,3,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,4032,8,36,5,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,1100,0,3,0,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,91,0,0,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,96,0,0,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,948,1,13,2,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,5642,3,3,3,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,29833,51,1031,21,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,1562,8,28,4,cases
