report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,1255,1,9,1,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,2260,0,5,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,5295,6,8,7,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,600,0,0,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,3389,1,19,1,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,1150,2,5,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,2862,3,31,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,1887,16,34,12,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,6427,11,19,5,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,16705,46,175,39,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,8444,19,108,17,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,4390,8,51,7,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,7623,20,38,27,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,8883,11,170,3,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,1633,7,10,3,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,10845,23,97,10,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,54398,44,646,47,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,15277,26,279,12,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,5710,10,78,7,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,214048,184,4924,85,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,21255,48,279,12,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,84,0,1,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,141,0,1,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,2641,4,58,4,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,5612,5,19,5,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,79154,102,558,70,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,11192,33,133,15,cases
