report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,5487,4,8,2,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,1430,0,0,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,2695,1,2,0,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,69,0,0,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,5419,1,25,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,764,0,8,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,4894,0,8,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,13740,4,19,7,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,1321,1,1,0,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,8228,21,21,12,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,39728,4,35,9,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,20129,2,30,4,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,50998,9,33,23,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,8927,1,11,2,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,2050,0,1,0,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,45628,3,6,3,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,333110,187,1293,162,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,28978,28,230,13,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,50062,11,227,8,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,135743,78,769,69,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,42093,99,454,48,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,3301,2,38,1,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,1546,3,6,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,37767,14,244,15,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,15245,6,9,5,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,76776,72,2072,17,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,11002,18,159,10,cases
,,,,,,,947130,569,5709,411,
