report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,1767,2,9,2,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,23755,1,20,2,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,6237,7,8,8,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,1033,3,2,1,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,4265,4,24,4,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,2074,2,9,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,3347,3,31,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,2385,18,51,13,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,7513,12,25,5,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,21545,61,222,50,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,10774,24,130,22,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,5424,12,107,10,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,9581,23,46,32,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,12738,19,251,4,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,2070,9,10,4,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,13339,29,109,12,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,57041,48,666,51,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,18209,32,325,17,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,7228,19,89,9,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,221246,198,4970,91,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,22299,51,292,12,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,127,0,1,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,147,0,1,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,3138,4,63,4,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,6702,5,20,5,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,89160,128,693,89,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,11566,33,134,15,cases
