report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,6916,5,14,3,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,1912,0,0,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,6687,2,8,1,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,144,0,2,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,9385,2,35,0,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,1523,2,16,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,7185,0,15,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,23037,9,31,10,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,4816,5,7,1,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,43663,44,163,29,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,55346,13,45,23,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,34895,6,51,8,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,57259,7,59,24,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,16938,8,14,7,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,2979,1,1,1,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,62728,5,14,7,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,518445,269,1886,258,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,39287,44,361,19,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,82621,23,378,15,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,194603,115,1130,109,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,60844,118,525,63,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,4932,2,61,2,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,3039,7,34,1,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,44792,16,280,17,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,18236,7,15,5,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,118419,132,2972,49,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,17275,39,450,22,cases
,,,,,,,1437906,881,8567,675,
