report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,157,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,73,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,213,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,1932,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,6950,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,137,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,2762,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,5681,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,3692,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,105805,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,1204,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,910,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,1055,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,362,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,335,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,7324,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,15350,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,649,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,2986,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,496,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,111,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,40,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,45,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,45,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,2781,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,159,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,92,cases
