report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,688,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,322,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,721,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,176,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,3135,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,792,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,1248,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,13615,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,2722,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,44556,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,24662,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,20141,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,49139,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,18083,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,8918,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,50237,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,1322,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,381,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,17935,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,3970,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,870,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,467,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,230,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,245,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,520,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,426,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,541,cases
