report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,52,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,13,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,26,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,0,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,124,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,3,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,70,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,183,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,6,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,76,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,366,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,101,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,8394,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,648,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,430,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,3574,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,129,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,32,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,221,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,611,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,47,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,38,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,11,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,41,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,129,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,19,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,40,cases
