report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,163,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,79,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,225,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,3221,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,7532,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,170,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,2891,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,5929,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,5234,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,111261,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,1409,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,1184,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,1164,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,378,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,352,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,8187,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,15590,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,703,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,3657,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,602,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,115,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,43,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,48,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,48,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,3020,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,141,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,104,cases
