report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,124,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,42,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,136,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,295,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,4803,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,45,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,1197,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,2637,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,277,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,15305,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,501,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,254,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,478,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,197,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,158,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,4650,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,9010,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,329,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,1498,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,265,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,61,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,20,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,22,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,19,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,1175,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,89,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,44,cases
