report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,142,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,58,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,198,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,757,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,6184,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,89,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,2088,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,4850,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,1462,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,77344,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,798,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,480,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,782,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,298,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,309,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,5921,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,13987,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,530,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,2291,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,405,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,96,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,34,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,41,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,34,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,2308,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,127,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,66,cases
