report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,188,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,95,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,239,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,3959,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,8202,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,209,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,3014,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,6248,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,6251,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,113568,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,1846,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,1620,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,1622,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,452,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,392,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,8806,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,15993,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,774,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,4270,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,760,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,140,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,46,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,56,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,95,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,3145,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,156,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,117,cases
