report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,139,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,49,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,187,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,536,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,5909,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,76,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,1809,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,4300,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,934,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,56961,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,700,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,400,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,658,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,273,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,252,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,5592,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,13289,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,483,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,2043,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,370,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,92,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,27,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,38,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,26,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,1986,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,110,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,58,cases
