report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,782,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,363,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,847,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,227,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,4020,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,960,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,1357,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,13813,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,2770,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,47981,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,24907,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,20264,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,49938,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,18406,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,9219,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,51455,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,1410,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,445,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,18396,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,4642,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,1020,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,553,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,314,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,275,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,555,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,470,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,579,cases
