report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,75,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,26,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,62,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,77,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,2885,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,19,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,607,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,685,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,63,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,2653,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,199,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,109,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,226,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,140,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,108,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,2662,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,1429,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,131,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,830,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,141,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,32,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,8,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,6,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,12,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,362,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,52,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,24,cases
