report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,797,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,367,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,863,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,232,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,4154,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,965,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,1374,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,13830,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,2774,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,48174,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,24910,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,20271,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,50006,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,18427,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,9242,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,51564,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,1421,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,453,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,18456,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,4710,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,1033,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,566,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,329,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,280,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,561,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,479,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,583,cases
