report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,170,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,82,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,229,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,3645,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,7727,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,183,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,2931,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,6016,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,5618,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,112203,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,1528,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,1296,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,1268,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,395,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,359,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,8350,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,15698,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,721,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,3866,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,628,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,119,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,43,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,51,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,50,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,3055,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,144,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,106,cases
