report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,unit
,Brazil-Rondonia,state,chikungunya_reported,NA,NA,NA,749,cases
,Brazil-Acre,state,chikungunya_reported,NA,NA,NA,349,cases
,Brazil-Amazonas,state,chikungunya_reported,NA,NA,NA,809,cases
,Brazil-Roraima,state,chikungunya_reported,NA,NA,NA,223,cases
,Brazil-Para,state,chikungunya_reported,NA,NA,NA,3849,cases
,Brazil-Amapa,state,chikungunya_reported,NA,NA,NA,946,cases
,Brazil-Tocantins,state,chikungunya_reported,NA,NA,NA,1340,cases
,Brazil-Maranhao,state,chikungunya_reported,NA,NA,NA,13736,cases
,Brazil-Piaui,state,chikungunya_reported,NA,NA,NA,2760,cases
,Brazil-Ceara,state,chikungunya_reported,NA,NA,NA,47382,cases
,Brazil-Rio_Grande_do_Norte,state,chikungunya_reported,NA,NA,NA,24873,cases
,Brazil-Paraiba,state,chikungunya_reported,NA,NA,NA,20249,cases
,Brazil-Pernambuco,state,chikungunya_reported,NA,NA,NA,49800,cases
,Brazil-Alagoas,state,chikungunya_reported,NA,NA,NA,18363,cases
,Brazil-Sergipe,state,chikungunya_reported,NA,NA,NA,9187,cases
,Brazil-Bahia,state,chikungunya_reported,NA,NA,NA,51241,cases
,Brazil-Minas_Gerais,state,chikungunya_reported,NA,NA,NA,1384,cases
,Brazil-Espirito_Santo,state,chikungunya_reported,NA,NA,NA,429,cases
,Brazil-Rio_de_Janeiro,state,chikungunya_reported,NA,NA,NA,18296,cases
,Brazil-Sao_Paulo,state,chikungunya_reported,NA,NA,NA,4445,cases
,Brazil-Parana,state,chikungunya_reported,NA,NA,NA,982,cases
,Brazil-Santa_Catarina,state,chikungunya_reported,NA,NA,NA,534,cases
,Brazil-Rio_Grande_do_Sul,state,chikungunya_reported,NA,NA,NA,294,cases
,Brazil-Mato_Grosso_do_Sul,state,chikungunya_reported,NA,NA,NA,265,cases
,Brazil-Mato_Grosso,state,chikungunya_reported,NA,NA,NA,546,cases
,Brazil-Goias,state,chikungunya_reported,NA,NA,NA,450,cases
,Brazil-Distrito_Federal,state,chikungunya_reported,NA,NA,NA,569,cases
