"year","location","biweekEndDate","meanIncidence","varIncidence","biweek","population"
2015,"Acre",2015-04-08,0,0,7,"803513"
2015,"Acre",2015-04-22,0,0,8,"803513"
2015,"Acre",2015-05-06,0,0,9,"803513"
2015,"Acre",2015-05-20,0,0,10,"803513"
2015,"Acre",2015-06-03,0,0,11,"803513"
2015,"Acre",2015-06-17,0.027,0.0262972972972973,12,"803513"
2015,"Acre",2015-07-01,0.024,0.0234474474474474,13,"803513"
2015,"Acre",2015-07-15,0,0,14,"803513"
2015,"Acre",2015-07-29,0,0,15,"803513"
2015,"Acre",2015-08-12,0,0,16,"803513"
2015,"Acre",2015-08-26,0,0,17,"803513"
2015,"Acre",2015-09-09,0.284,0.279623623623624,18,"803513"
2015,"Acre",2015-09-23,0.858,0.860696696696697,19,"803513"
2015,"Acre",2015-10-07,1.399,1.42522422422422,20,"803513"
2015,"Acre",2015-10-21,1.708,1.71445045045045,21,"803513"
2015,"Acre",2015-11-04,1.92,1.94954954954955,22,"803513"
2015,"Acre",2015-11-18,1.545,1.59957457457457,23,"803513"
2015,"Acre",2015-12-02,1.07,1.02812812812813,24,"803513"
2015,"Acre",2015-12-16,0.324,0.315339339339339,25,"803513"
2015,"Acre",2015-12-30,0.067,0.0665775775775776,26,"803513"
2016,"Acre",2016-01-13,2.58,2.47807807807808,1,"816687"
2016,"Acre",2016-01-27,8.312,8.59525125125125,2,"816687"
2016,"Acre",2016-02-10,16.007,15.3242752752753,3,"816687"
2016,"Acre",2016-02-24,19.985,18.8716466466466,4,"816687"
2016,"Acre",2016-03-09,22.755,21.5865615615616,5,"816687"
2016,"Acre",2016-03-23,34.049,32.396995995996,6,"816687"
2016,"Acre",2016-04-06,36.607,35.8664174174174,7,"816687"
2016,"Acre",2016-04-20,35.061,32.693972972973,8,"816687"
2016,"Acre",2016-05-04,32.647,33.3177087087087,9,"816687"
2016,"Acre",2016-05-18,28.058,26.4450810810811,10,"816687"
2016,"Acre",2016-06-01,21.789,18.8413203203203,11,"816687"
2016,"Acre",2016-06-15,15.873,14.8036746746747,12,"816687"
2016,"Acre",2016-06-29,10.202,10.1293253253253,13,"816687"
2016,"Acre",2016-07-13,5.616,5.43798198198198,14,"816687"
2016,"Acre",2016-07-27,4.096,4.37916316316316,15,"816687"
2016,"Acre",2016-08-10,6.007,6.08103203203203,16,"816687"
2016,"Acre",2016-08-24,7.635,7.57334834834835,17,"816687"
2016,"Acre",2016-09-07,6.054,6.06314714714715,18,"816687"
2016,"Acre",2016-09-21,5.84,5.55195195195195,19,"816687"
2016,"Acre",2016-10-05,5.393,5.37993093093093,20,"816687"
2016,"Acre",2016-10-19,2.36,2.37477477477477,21,"816687"
2016,"Acre",2016-11-02,4.21,4.13403403403403,22,"816687"
2016,"Acre",2016-11-16,10.865,10.3030780780781,23,"816687"
2016,"Acre",2016-11-30,14.043,14.1132642642643,24,"816687"
2016,"Acre",2016-12-14,11.767,10.7254364364364,25,"816687"
2016,"Acre",2016-12-28,5.958,6.55679279279279,26,"816687"
2017,"Acre",2017-01-11,3.736,3.76406806806807,1,"829619"
2017,"Acre",2017-01-25,6.685,6.15793293293293,2,"829619"
2017,"Acre",2017-02-08,9.894,9.3340980980981,3,"829619"
2017,"Acre",2017-02-22,5.936,5.80971371371371,4,"829619"
2017,"Acre",2017-03-08,6.184,6.27041441441441,5,"829619"
2017,"Acre",2017-03-22,5.714,5.1953993993994,6,"829619"
2017,"Acre",2017-04-05,2.581,2.47191091091091,7,"829619"
2017,"Acre",2017-04-19,2.908,2.82235835835836,8,"829619"
2017,"Acre",2017-05-03,5.481,4.94458358358358,9,"829619"
2017,"Acre",2017-05-17,7.225,7.07144644644645,10,"829619"
2017,"Acre",2017-05-31,5.744,6.25071471471471,11,"829619"
2017,"Acre",2017-06-14,5.16,4.98938938938939,12,"829619"
2017,"Acre",2017-06-28,3.984,3.70745145145145,13,"829619"
2017,"Acre",2017-07-12,3.088,3.07533133133133,14,"829619"
2017,"Acre",2017-07-26,1.806,1.81417817817818,15,"829619"
2017,"Acre",2017-08-09,2.241,2.19111011011011,16,"829619"
2017,"Acre",2017-08-23,1.572,1.62444044044044,17,"829619"
2017,"Acre",2017-09-06,0.818,0.911787787787788,18,"829619"
2017,"Acre",2017-09-20,1.221,1.26542442442442,19,"829619"
2017,"Acre",2017-10-04,3.84,3.37577577577578,20,"829619"
2017,"Acre",2017-10-18,5.973,5.61588688688689,21,"829619"
2017,"Acre",2017-11-01,5.111,4.63131031031031,22,"829619"
2017,"Acre",2017-11-15,1.273,1.30377477477477,23,"829619"
2017,"Acre",2017-11-29,3.125,3.10447947947948,24,"829619"
2017,"Acre",2017-12-13,4.254,4.38586986986987,25,"829619"
2017,"Acre",2017-12-27,7.672,7.2796956956957,26,"829619"
2018,"Acre",2018-01-10,5.808,5.65879479479479,1,NA
2018,"Acre",2018-01-24,4.164,4.14124524524525,2,NA
2018,"Acre",2018-02-07,5.047,5.32211311311311,3,NA
2018,"Acre",2018-02-21,6.8,7.15715715715716,4,NA
2018,"Acre",2018-03-07,23.316,21.0151591591592,5,NA
2018,"Acre",2018-03-21,11.866,11.949993993994,6,NA
2018,"Acre",2018-04-04,2.643,2.62417517517517,7,NA
2018,"Acre",2018-04-18,0.222,0.220936936936937,8,NA
2018,"Acre",2018-05-02,1.306,1.30767167167167,9,NA
2018,"Acre",2018-05-16,6.368,6.30488088088088,10,NA
2018,"Acre",2018-05-30,8.028,8.01122722722723,11,NA
2018,"Acre",2018-06-13,2.036,2.15886286286286,12,NA
2018,"Acre",2018-06-27,3.38,3.48708708708709,13,NA
2018,"Acre",2018-07-11,10.795,10.7196946946947,14,NA
2015,"Alagoas",2015-04-08,5.173,4.92199299299299,7,"3340932"
2015,"Alagoas",2015-04-22,3.705,3.59757257257257,8,"3340932"
2015,"Alagoas",2015-05-06,0.538,0.515071071071071,9,"3340932"
2015,"Alagoas",2015-05-20,0.327,0.320391391391391,10,"3340932"
2015,"Alagoas",2015-06-03,0.139,0.141820820820821,11,"3340932"
2015,"Alagoas",2015-06-17,3.313,3.25428528528529,12,"3340932"
2015,"Alagoas",2015-07-01,4.796,5.04142542542543,13,"3340932"
2015,"Alagoas",2015-07-15,0,0,14,"3340932"
2015,"Alagoas",2015-07-29,0,0,15,"3340932"
2015,"Alagoas",2015-08-12,0,0,16,"3340932"
2015,"Alagoas",2015-08-26,12.926,13.2457697697698,17,"3340932"
2015,"Alagoas",2015-09-09,58.239,57.1970760760761,18,"3340932"
2015,"Alagoas",2015-09-23,124.24,121.61001001001,19,"3340932"
2015,"Alagoas",2015-10-07,191.199,192.137536536537,20,"3340932"
2015,"Alagoas",2015-10-21,229.022,235.072588588589,21,"3340932"
2015,"Alagoas",2015-11-04,232.727,263.325796796797,22,"3340932"
2015,"Alagoas",2015-11-18,204.993,208.425376376376,23,"3340932"
2015,"Alagoas",2015-12-02,144.57,140.976076076076,24,"3340932"
2015,"Alagoas",2015-12-16,51.082,50.5358118118118,25,"3340932"
2015,"Alagoas",2015-12-30,2.164,2.17127527527528,26,"3340932"
2016,"Alagoas",2016-01-13,157.586,156.653257257257,1,"3358963"
2016,"Alagoas",2016-01-27,392.578,362.316232232232,2,"3358963"
2016,"Alagoas",2016-02-10,610.584,583.464408408408,3,"3358963"
2016,"Alagoas",2016-02-24,783.557,702.17892992993,4,"3358963"
2016,"Alagoas",2016-03-09,877.749,821.717716716717,5,"3358963"
2016,"Alagoas",2016-03-23,893.15,870.914414414414,6,"3358963"
2016,"Alagoas",2016-04-06,1159.641,1130.01012912913,7,"3358963"
2016,"Alagoas",2016-04-20,1321.412,1162.68694294294,8,"3358963"
2016,"Alagoas",2016-05-04,1336.119,1278.21905805806,9,"3358963"
2016,"Alagoas",2016-05-18,1598.725,1482.5238988989,10,"3358963"
2016,"Alagoas",2016-06-01,1931.95,1763.77127127127,11,"3358963"
2016,"Alagoas",2016-06-15,1940.848,1718.32922522523,12,"3358963"
2016,"Alagoas",2016-06-29,1593.777,1558.81208308308,13,"3358963"
2016,"Alagoas",2016-07-13,1090.858,1010.6665025025,14,"3358963"
2016,"Alagoas",2016-07-27,766.764,742.668972972973,15,"3358963"
2016,"Alagoas",2016-08-10,664.951,623.994593593594,16,"3358963"
2016,"Alagoas",2016-08-24,536.677,535.259930930931,17,"3358963"
2016,"Alagoas",2016-09-07,245.437,240.404435435435,18,"3358963"
2016,"Alagoas",2016-09-21,169.811,160.421700700701,19,"3358963"
2016,"Alagoas",2016-10-05,161.503,153.241232232232,20,"3358963"
2016,"Alagoas",2016-10-19,109.816,104.931075075075,21,"3358963"
2016,"Alagoas",2016-11-02,51.87,51.1842842842843,22,"3358963"
2016,"Alagoas",2016-11-16,53.009,52.7016206206206,23,"3358963"
2016,"Alagoas",2016-11-30,31.79,30.8847847847848,24,"3358963"
2016,"Alagoas",2016-12-14,48.028,49.0282442442442,25,"3358963"
2016,"Alagoas",2016-12-28,25.972,24.4997157157157,26,"3358963"
2017,"Alagoas",2017-01-11,37.631,38.7135525525525,1,"3375823"
2017,"Alagoas",2017-01-25,45.902,50.4148108108108,2,"3375823"
2017,"Alagoas",2017-02-08,45.514,43.9277317317317,3,"3375823"
2017,"Alagoas",2017-02-22,21.475,20.605980980981,4,"3375823"
2017,"Alagoas",2017-03-08,17.652,16.070966966967,5,"3375823"
2017,"Alagoas",2017-03-22,18.396,17.9971811811812,6,"3375823"
2017,"Alagoas",2017-04-05,35.362,35.5805365365365,7,"3375823"
2017,"Alagoas",2017-04-19,25.068,24.597973973974,8,"3375823"
2017,"Alagoas",2017-05-03,32.565,33.20497997998,9,"3375823"
2017,"Alagoas",2017-05-17,24.087,26.6701011011011,10,"3375823"
2017,"Alagoas",2017-05-31,23.199,25.6710700700701,11,"3375823"
2017,"Alagoas",2017-06-14,18.982,19.0186946946947,12,"3375823"
2017,"Alagoas",2017-06-28,21.94,21.57997997998,13,"3375823"
2017,"Alagoas",2017-07-12,16.773,16.7041751751752,14,"3375823"
2017,"Alagoas",2017-07-26,0.62,0.602202202202202,15,"3375823"
2017,"Alagoas",2017-08-09,12.885,12.4041791791792,16,"3375823"
2017,"Alagoas",2017-08-23,22.366,21.3053493493493,17,"3375823"
2017,"Alagoas",2017-09-06,11.223,10.9842552552553,18,"3375823"
2017,"Alagoas",2017-09-20,8.797,8.79658758758759,19,"3375823"
2017,"Alagoas",2017-10-04,13.508,13.3472832832833,20,"3375823"
2017,"Alagoas",2017-10-18,2.2,2.23823823823824,21,"3375823"
2017,"Alagoas",2017-11-01,39.937,39.1441751751752,22,"3375823"
2017,"Alagoas",2017-11-15,0,0,23,"3375823"
2017,"Alagoas",2017-11-29,6.629,6.58994894894895,24,"3375823"
2017,"Alagoas",2017-12-13,23.972,24.0052212212212,25,"3375823"
2017,"Alagoas",2017-12-27,9.919,9.80224124124124,26,"3375823"
2018,"Alagoas",2018-01-10,0,0,1,NA
2018,"Alagoas",2018-01-24,4.757,4.69064164164164,2,NA
2018,"Alagoas",2018-02-07,10.943,11.4071581581582,3,NA
2018,"Alagoas",2018-02-21,2.782,2.64311911911912,4,NA
2018,"Alagoas",2018-03-07,3.341,3.54826726726727,5,NA
2018,"Alagoas",2018-03-21,5.551,5.54093993993994,6,NA
2018,"Alagoas",2018-04-04,9.688,8.87352952952953,7,NA
2018,"Alagoas",2018-04-18,9.908,9.67521121121121,8,NA
2018,"Alagoas",2018-05-02,5.413,5.29973073073073,9,NA
2018,"Alagoas",2018-05-16,0.377,0.353224224224224,10,NA
2018,"Alagoas",2018-05-30,5.079,5.21997897897898,11,NA
2018,"Alagoas",2018-06-13,8.896,9.66685085085085,12,NA
2018,"Alagoas",2018-06-27,9.047,9.0098008008008,13,NA
