"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Dengue","Brazil","Rondonia","state",2015-01-04,2015-02-28,NA,346,NA,"alarm=4;death=1;probable=339;severe=2","EpiBulletinPrevYear",""
"Dengue","Brazil","Acre","state",2015-01-04,2015-02-28,NA,3501,NA,"alarm=2;death=0;probable=3499;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Amazonas","state",2015-01-04,2015-02-28,NA,1034,NA,"alarm=0;death=0;probable=1034;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Roraima","state",2015-01-04,2015-02-28,NA,141,NA,"alarm=1;death=0;probable=140;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Para","state",2015-01-04,2015-02-28,NA,1020,NA,"alarm=13;death=0;probable=1005;severe=2","EpiBulletinPrevYear",""
"Dengue","Brazil","Amapa","state",2015-01-04,2015-02-28,NA,940,NA,"alarm=6;death=0;probable=934;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Tocantins","state",2015-01-04,2015-02-28,NA,969,NA,"alarm=3;death=0;probable=965;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Maranhao","state",2015-01-04,2015-02-28,NA,1187,NA,"alarm=8;death=0;probable=1177;severe=2","EpiBulletinPrevYear",""
"Dengue","Brazil","Piaui","state",2015-01-04,2015-02-28,NA,622,NA,"alarm=5;death=0;probable=617;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Ceara","state",2015-01-04,2015-02-28,NA,4376,NA,"alarm=54;death=5;probable=4305;severe=12","EpiBulletinPrevYear",""
"Dengue","Brazil","Rio_Grande_do_Norte","state",2015-01-04,2015-02-28,NA,4050,NA,"alarm=10;death=1;probable=4038;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Paraiba","state",2015-01-04,2015-02-28,NA,924,NA,"alarm=10;death=1;probable=912;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Pernambuco","state",2015-01-04,2015-02-28,NA,6585,NA,"alarm=9;death=1;probable=6572;severe=3","EpiBulletinPrevYear",""
"Dengue","Brazil","Alagoas","state",2015-01-04,2015-02-28,NA,1751,NA,"alarm=8;death=0;probable=1743;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Sergipe","state",2015-01-04,2015-02-28,NA,675,NA,"alarm=0;death=0;probable=674;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Bahia","state",2015-01-04,2015-02-28,NA,3774,NA,"alarm=3;death=1;probable=3768;severe=2","EpiBulletinPrevYear",""
"Dengue","Brazil","Minas_Gerais","state",2015-01-04,2015-02-28,NA,13978,NA,"alarm=96;death=9;probable=13857;severe=16","EpiBulletinPrevYear",""
"Dengue","Brazil","Espirito_Santo","state",2015-01-04,2015-02-28,NA,1520,NA,"alarm=39;death=5;probable=1468;severe=8","EpiBulletinPrevYear",""
"Dengue","Brazil","Rio_de_Janeiro","state",2015-01-04,2015-02-28,NA,6356,NA,"alarm=43;death=7;probable=6291;severe=15","EpiBulletinPrevYear",""
"Dengue","Brazil","Sao_Paulo","state",2015-01-04,2015-02-28,NA,163754,NA,"alarm=2598;death=140;probable=160842;severe=174","EpiBulletinPrevYear",""
"Dengue","Brazil","Parana","state",2015-01-04,2015-02-28,NA,5177,NA,"alarm=91;death=2;probable=5070;severe=14","EpiBulletinPrevYear",""
"Dengue","Brazil","Santa_Catarina","state",2015-01-04,2015-02-28,NA,804,NA,"alarm=34;death=0;probable=770;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Rio_Grande_do_Sul","state",2015-01-04,2015-02-28,NA,53,NA,"alarm=0;death=0;probable=53;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Mato_Grosso_do_Sul","state",2015-01-04,2015-02-28,NA,4182,NA,"alarm=33;death=4;probable=4142;severe=3","EpiBulletinPrevYear",""
"Dengue","Brazil","Mato_Grosso","state",2015-01-04,2015-02-28,NA,1791,NA,"alarm=3;death=2;probable=1784;severe=2","EpiBulletinPrevYear",""
"Dengue","Brazil","Goias","state",2015-01-04,2015-02-28,NA,33826,NA,"alarm=889;death=14;probable=32863;severe=60","EpiBulletinPrevYear",""
"Dengue","Brazil","Distrito_Federal","state",2015-01-04,2015-02-28,NA,957,NA,"alarm=2;death=4;probable=947;severe=4","EpiBulletinPrevYear",""
