"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Dengue","Brazil","Rondonia","state",2016-01-03,2016-02-20,NA,3370,NA,"alarm=5;death=1;probable=3361;severe=3","EpiBulletinPrevYear",""
"Dengue","Brazil","Acre","state",2016-01-03,2016-02-20,NA,968,NA,"alarm=0;death=0;probable=968;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Amazonas","state",2016-01-03,2016-02-20,NA,1231,NA,"alarm=2;death=0;probable=1228;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Roraima","state",2016-01-03,2016-02-20,NA,26,NA,"alarm=0;death=0;probable=26;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Para","state",2016-01-03,2016-02-20,NA,3077,NA,"alarm=16;death=0;probable=3060;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Amapa","state",2016-01-03,2016-02-20,NA,323,NA,"alarm=3;death=0;probable=320;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Tocantins","state",2016-01-03,2016-02-20,NA,3176,NA,"alarm=5;death=0;probable=3171;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Maranhao","state",2016-01-03,2016-02-20,NA,6144,NA,"alarm=12;death=3;probable=6127;severe=2","EpiBulletinPrevYear",""
"Dengue","Brazil","Piaui","state",2016-01-03,2016-02-20,NA,648,NA,"alarm=0;death=0;probable=648;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Ceara","state",2016-01-03,2016-02-20,NA,3266,NA,"alarm=11;death=6;probable=3240;severe=9","EpiBulletinPrevYear",""
"Dengue","Brazil","Rio_Grande_do_Norte","state",2016-01-03,2016-02-20,NA,15949,NA,"alarm=4;death=2;probable=15941;severe=2","EpiBulletinPrevYear",""
"Dengue","Brazil","Paraiba","state",2016-01-03,2016-02-20,NA,9285,NA,"alarm=14;death=1;probable=9269;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Pernambuco","state",2016-01-03,2016-02-20,NA,34455,NA,"alarm=24;death=14;probable=34410;severe=7","EpiBulletinPrevYear",""
"Dengue","Brazil","Alagoas","state",2016-01-03,2016-02-20,NA,4705,NA,"alarm=9;death=0;probable=4695;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Sergipe","state",2016-01-03,2016-02-20,NA,1305,NA,"alarm=1;death=0;probable=1304;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Bahia","state",2016-01-03,2016-02-20,NA,21457,NA,"alarm=2;death=2;probable=21451;severe=2","EpiBulletinPrevYear",""
"Dengue","Brazil","Minas_Gerais","state",2016-01-03,2016-02-20,NA,143546,NA,"alarm=607;death=69;probable=142788;severe=82","EpiBulletinPrevYear",""
"Dengue","Brazil","Espirito_Santo","state",2016-01-03,2016-02-20,NA,17956,NA,"alarm=137;death=12;probable=17783;severe=24","EpiBulletinPrevYear",""
"Dengue","Brazil","Rio_de_Janeiro","state",2016-01-03,2016-02-20,NA,29532,NA,"alarm=161;death=6;probable=29356;severe=9","EpiBulletinPrevYear",""
"Dengue","Brazil","Sao_Paulo","state",2016-01-03,2016-02-20,NA,71920,NA,"alarm=423;death=36;probable=71422;severe=39","EpiBulletinPrevYear",""
"Dengue","Brazil","Parana","state",2016-01-03,2016-02-20,NA,20493,NA,"alarm=258;death=31;probable=20154;severe=50","EpiBulletinPrevYear",""
"Dengue","Brazil","Santa_Catarina","state",2016-01-03,2016-02-20,NA,1179,NA,"alarm=9;death=0;probable=1169;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Rio_Grande_do_Sul","state",2016-01-03,2016-02-20,NA,367,NA,"alarm=0;death=0;probable=366;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Mato_Grosso_do_Sul","state",2016-01-03,2016-02-20,NA,27112,NA,"alarm=198;death=13;probable=26891;severe=10","EpiBulletinPrevYear",""
"Dengue","Brazil","Mato_Grosso","state",2016-01-03,2016-02-20,NA,10878,NA,"alarm=4;death=4;probable=10865;severe=5","EpiBulletinPrevYear",""
"Dengue","Brazil","Goias","state",2016-01-03,2016-02-20,NA,40986,NA,"alarm=1361;death=12;probable=39561;severe=52","EpiBulletinPrevYear",""
"Dengue","Brazil","Distrito_Federal","state",2016-01-03,2016-02-20,NA,5793,NA,"alarm=85;death=9;probable=5686;severe=13","EpiBulletinPrevYear",""
