"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Dengue","Brazil","Rondonia","state",2017-01-01,2017-08-12,NA,1833,NA,"alarm=1;death=0;probable=1829;severe=3","EpiBulletinPrevYear",""
"Dengue","Brazil","Acre","state",2017-01-01,2017-08-12,NA,1105,NA,"alarm=0;death=0;probable=1105;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Amazonas","state",2017-01-01,2017-08-12,NA,3073,NA,"alarm=11;death=2;probable=3057;severe=3","EpiBulletinPrevYear",""
"Dengue","Brazil","Roraima","state",2017-01-01,2017-08-12,NA,240,NA,"alarm=1;death=0;probable=239;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Para","state",2017-01-01,2017-08-12,NA,6974,NA,"alarm=7;death=0;probable=6966;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Amapa","state",2017-01-01,2017-08-12,NA,818,NA,"alarm=9;death=1;probable=807;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Tocantins","state",2017-01-01,2017-08-12,NA,4570,NA,"alarm=96;death=2;probable=4470;severe=2","EpiBulletinPrevYear",""
"Dengue","Brazil","Maranhao","state",2017-01-01,2017-08-12,NA,6577,NA,"alarm=30;death=4;probable=6533;severe=10","EpiBulletinPrevYear",""
"Dengue","Brazil","Piaui","state",2017-01-01,2017-08-12,NA,4758,NA,"alarm=7;death=0;probable=4749;severe=2","EpiBulletinPrevYear",""
"Dengue","Brazil","Ceara","state",2017-01-01,2017-08-12,NA,37802,NA,"alarm=88;death=24;probable=37661;severe=29","EpiBulletinPrevYear",""
"Dengue","Brazil","Rio_Grande_do_Norte","state",2017-01-01,2017-08-12,NA,5383,NA,"alarm=6;death=8;probable=5361;severe=8","EpiBulletinPrevYear",""
"Dengue","Brazil","Paraiba","state",2017-01-01,2017-08-12,NA,2492,NA,"alarm=10;death=0;probable=2481;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Pernambuco","state",2017-01-01,2017-08-12,NA,5905,NA,"alarm=32;death=7;probable=5853;severe=13","EpiBulletinPrevYear",""
"Dengue","Brazil","Alagoas","state",2017-01-01,2017-08-12,NA,2282,NA,"alarm=8;death=4;probable=2267;severe=3","EpiBulletinPrevYear",""
"Dengue","Brazil","Sergipe","state",2017-01-01,2017-08-12,NA,425,NA,"alarm=1;death=0;probable=424;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Bahia","state",2017-01-01,2017-08-12,NA,8280,NA,"alarm=12;death=1;probable=8266;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Minas_Gerais","state",2017-01-01,2017-08-12,NA,23062,NA,"alarm=105;death=17;probable=22920;severe=20","EpiBulletinPrevYear",""
"Dengue","Brazil","Espirito_Santo","state",2017-01-01,2017-08-12,NA,5789,NA,"alarm=80;death=7;probable=5690;severe=12","EpiBulletinPrevYear",""
"Dengue","Brazil","Rio_de_Janeiro","state",2017-01-01,2017-08-12,NA,8849,NA,"alarm=70;death=3;probable=8773;severe=3","EpiBulletinPrevYear",""
"Dengue","Brazil","Sao_Paulo","state",2017-01-01,2017-08-12,NA,5618,NA,"alarm=46;death=5;probable=5556;severe=11","EpiBulletinPrevYear",""
"Dengue","Brazil","Parana","state",2017-01-01,2017-08-12,NA,1383,NA,"alarm=7;death=0;probable=1376;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Santa_Catarina","state",2017-01-01,2017-08-12,NA,127,NA,"alarm=0;death=0;probable=127;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Rio_Grande_do_Sul","state",2017-01-01,2017-08-12,NA,122,NA,"alarm=0;death=0;probable=121;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Mato_Grosso_do_Sul","state",2017-01-01,2017-08-12,NA,1378,NA,"alarm=25;death=3;probable=1348;severe=2","EpiBulletinPrevYear",""
"Dengue","Brazil","Mato_Grosso","state",2017-01-01,2017-08-12,NA,7772,NA,"alarm=15;death=4;probable=7750;severe=3","EpiBulletinPrevYear",""
"Dengue","Brazil","Goias","state",2017-01-01,2017-08-12,NA,57238,NA,"alarm=1676;death=49;probable=55415;severe=98","EpiBulletinPrevYear",""
"Dengue","Brazil","Distrito_Federal","state",2017-01-01,2017-08-12,NA,3486,NA,"alarm=77;death=10;probable=3384;severe=15","EpiBulletinPrevYear",""
