"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Dengue","Brazil","Rondonia","state",2017-01-01,2017-03-25,NA,1496,NA,"alarm=0;death=0;probable=1493;severe=3","EpiBulletinPrevYear",""
"Dengue","Brazil","Acre","state",2017-01-01,2017-03-25,NA,709,NA,"alarm=0;death=0;probable=709;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Amazonas","state",2017-01-01,2017-03-25,NA,1629,NA,"alarm=5;death=0;probable=1623;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Roraima","state",2017-01-01,2017-03-25,NA,52,NA,"alarm=0;death=0;probable=52;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Para","state",2017-01-01,2017-03-25,NA,5134,NA,"alarm=5;death=0;probable=5128;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Amapa","state",2017-01-01,2017-03-25,NA,514,NA,"alarm=5;death=1;probable=507;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Tocantins","state",2017-01-01,2017-03-25,NA,2174,NA,"alarm=22;death=0;probable=2152;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Maranhao","state",2017-01-01,2017-03-25,NA,3651,NA,"alarm=11;death=3;probable=3632;severe=5","EpiBulletinPrevYear",""
"Dengue","Brazil","Piaui","state",2017-01-01,2017-03-25,NA,850,NA,"alarm=1;death=0;probable=848;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Ceara","state",2017-01-01,2017-03-25,NA,12072,NA,"alarm=49;death=4;probable=12015;severe=4","EpiBulletinPrevYear",""
"Dengue","Brazil","Rio_Grande_do_Norte","state",2017-01-01,2017-03-25,NA,2175,NA,"alarm=5;death=1;probable=2167;severe=2","EpiBulletinPrevYear",""
"Dengue","Brazil","Paraiba","state",2017-01-01,2017-03-25,NA,809,NA,"alarm=2;death=0;probable=806;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Pernambuco","state",2017-01-01,2017-03-25,NA,1580,NA,"alarm=10;death=2;probable=1566;severe=2","EpiBulletinPrevYear",""
"Dengue","Brazil","Alagoas","state",2017-01-01,2017-03-25,NA,499,NA,"alarm=2;death=1;probable=494;severe=2","EpiBulletinPrevYear",""
"Dengue","Brazil","Sergipe","state",2017-01-01,2017-03-25,NA,164,NA,"alarm=1;death=0;probable=163;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Bahia","state",2017-01-01,2017-03-25,NA,4652,NA,"alarm=11;death=0;probable=4641;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Minas_Gerais","state",2017-01-01,2017-03-25,NA,13985,NA,"alarm=56;death=7;probable=13911;severe=11","EpiBulletinPrevYear",""
"Dengue","Brazil","Espirito_Santo","state",2017-01-01,2017-03-25,NA,3170,NA,"alarm=54;death=3;probable=3107;severe=6","EpiBulletinPrevYear",""
"Dengue","Brazil","Rio_de_Janeiro","state",2017-01-01,2017-03-25,NA,4506,NA,"alarm=44;death=2;probable=4458;severe=2","EpiBulletinPrevYear",""
"Dengue","Brazil","Sao_Paulo","state",2017-01-01,2017-03-25,NA,3121,NA,"alarm=30;death=5;probable=3078;severe=8","EpiBulletinPrevYear",""
"Dengue","Brazil","Parana","state",2017-01-01,2017-03-25,NA,937,NA,"alarm=2;death=0;probable=935;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Santa_Catarina","state",2017-01-01,2017-03-25,NA,77,NA,"alarm=0;death=0;probable=77;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Rio_Grande_do_Sul","state",2017-01-01,2017-03-25,NA,83,NA,"alarm=0;death=0;probable=83;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Mato_Grosso_do_Sul","state",2017-01-01,2017-03-25,NA,747,NA,"alarm=8;death=2;probable=736;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Mato_Grosso","state",2017-01-01,2017-03-25,NA,4270,NA,"alarm=3;death=3;probable=4262;severe=2","EpiBulletinPrevYear",""
"Dengue","Brazil","Goias","state",2017-01-01,2017-03-25,NA,21245,NA,"alarm=753;death=10;probable=20448;severe=34","EpiBulletinPrevYear",""
"Dengue","Brazil","Distrito_Federal","state",2017-01-01,2017-03-25,NA,970,NA,"alarm=14;death=0;probable=953;severe=3","EpiBulletinPrevYear",""
