"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Dengue","Brazil","Rondonia","state",2012-12-30,2013-09-07,NA,7918,NA,"death=5;probable=7879;severe=34","EpiBulletinPrevYear",""
"Dengue","Brazil","Acre","state",2012-12-30,2013-09-07,NA,2351,NA,"death=0;probable=2348;severe=3","EpiBulletinPrevYear",""
"Dengue","Brazil","Amazonas","state",2012-12-30,2013-09-07,NA,16734,NA,"death=10;probable=16630;severe=94","EpiBulletinPrevYear",""
"Dengue","Brazil","Roraima","state",2012-12-30,2013-09-07,NA,676,NA,"death=0;probable=676;severe=0","EpiBulletinPrevYear",""
"Dengue","Brazil","Para","state",2012-12-30,2013-09-07,NA,8492,NA,"death=9;probable=8446;severe=37","EpiBulletinPrevYear",""
"Dengue","Brazil","Amapa","state",2012-12-30,2013-09-07,NA,1624,NA,"death=2;probable=1614;severe=8","EpiBulletinPrevYear",""
"Dengue","Brazil","Tocantins","state",2012-12-30,2013-09-07,NA,7860,NA,"death=3;probable=7835;severe=22","EpiBulletinPrevYear",""
"Dengue","Brazil","Maranhao","state",2012-12-30,2013-09-07,NA,3322,NA,"death=16;probable=3268;severe=38","EpiBulletinPrevYear",""
"Dengue","Brazil","Piaui","state",2012-12-30,2013-09-07,NA,4612,NA,"death=1;probable=4595;severe=16","EpiBulletinPrevYear",""
"Dengue","Brazil","Ceara","state",2012-12-30,2013-09-07,NA,27789,NA,"death=59;probable=27559;severe=171","EpiBulletinPrevYear",""
"Dengue","Brazil","Rio_Grande_do_Norte","state",2012-12-30,2013-09-07,NA,16488,NA,"death=16;probable=16359;severe=113","EpiBulletinPrevYear",""
"Dengue","Brazil","Paraiba","state",2012-12-30,2013-09-07,NA,12134,NA,"death=13;probable=12021;severe=100","EpiBulletinPrevYear",""
"Dengue","Brazil","Pernambuco","state",2012-12-30,2013-09-07,NA,6895,NA,"death=35;probable=6794;severe=66","EpiBulletinPrevYear",""
"Dengue","Brazil","Alagoas","state",2012-12-30,2013-09-07,NA,8551,NA,"death=2;probable=8527;severe=22","EpiBulletinPrevYear",""
"Dengue","Brazil","Sergipe","state",2012-12-30,2013-09-07,NA,586,NA,"death=2;probable=580;severe=4","EpiBulletinPrevYear",""
"Dengue","Brazil","Bahia","state",2012-12-30,2013-09-07,NA,58965,NA,"death=15;probable=58817;severe=133","EpiBulletinPrevYear",""
"Dengue","Brazil","Minas_Gerais","state",2012-12-30,2013-09-07,NA,413250,NA,"death=103;probable=412744;severe=403","EpiBulletinPrevYear",""
"Dengue","Brazil","Espirito_Santo","state",2012-12-30,2013-09-07,NA,66785,NA,"death=28;probable=65407;severe=1350","EpiBulletinPrevYear",""
"Dengue","Brazil","Rio_de_Janeiro","state",2012-12-30,2013-09-07,NA,211764,NA,"death=56;probable=210476;severe=1232","EpiBulletinPrevYear",""
"Dengue","Brazil","Sao_Paulo","state",2012-12-30,2013-09-07,NA,219141,NA,"death=76;probable=218624;severe=441","EpiBulletinPrevYear",""
"Dengue","Brazil","Parana","state",2012-12-30,2013-09-07,NA,65409,NA,"death=26;probable=65152;severe=231","EpiBulletinPrevYear",""
"Dengue","Brazil","Santa_Catarina","state",2012-12-30,2013-09-07,NA,348,NA,"death=0;probable=347;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Rio_Grande_do_Sul","state",2012-12-30,2013-09-07,NA,441,NA,"death=0;probable=440;severe=1","EpiBulletinPrevYear",""
"Dengue","Brazil","Mato_Grosso_do_Sul","state",2012-12-30,2013-09-07,NA,78969,NA,"death=36;probable=78173;severe=760","EpiBulletinPrevYear",""
"Dengue","Brazil","Mato_Grosso","state",2012-12-30,2013-09-07,NA,33209,NA,"death=26;probable=33087;severe=96","EpiBulletinPrevYear",""
"Dengue","Brazil","Goias","state",2012-12-30,2013-09-07,NA,133280,NA,"death=82;probable=132020;severe=1178","EpiBulletinPrevYear",""
"Dengue","Brazil","Distrito_Federal","state",2012-12-30,2013-09-07,NA,11466,NA,"death=6;probable=11444;severe=16","EpiBulletinPrevYear",""
