report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,119,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,339,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,4536,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,3575,cases
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,1031,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,131,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,2197,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,6613,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,50343,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,4706,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,4171,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,3479,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,384,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,309,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,3789,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,396,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,2276,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,15086,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,60176,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,5613,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,1043,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,192,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,86,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,334,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,6355,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,21970,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,1216,cases
