report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,976,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,58,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,4493,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,178,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,4524,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,452,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,2292,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,4523,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,233,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,4305,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,3953,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,3750,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,391,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,6874,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,220,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,51767,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,14436,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,2354,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,68542,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,5721,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,714,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,92,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,187,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,1719,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,21911,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,10297,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,357,cases
,,,,,,,215319,
