report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,982,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,79,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,4561,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,158,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,4291,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,410,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,2268,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,4376,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,234,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,4087,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,3950,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,4199,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,381,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,6883,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,295,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,51328,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,15211,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,2321,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,67481,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,5612,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,685,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,90,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,181,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,1640,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,21879,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,7837,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,351,cases
,,,,,,,211770,
