report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,974,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,923,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,2172,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,83,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,1583,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,162,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,2535,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,2276,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,148,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,1238,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,1788,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,2648,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,496,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,2812,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,499,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,42260,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,11670,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,2080,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,43516,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,4043,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,2045,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,102,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,344,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,696,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,18226,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,3217,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,369,cases
