report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,1032,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,843,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,2176,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,83,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,2032,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,189,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,2667,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,2328,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,217,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,2144,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,2312,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,2865,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,393,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,3577,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,490,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,45419,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,12449,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,2150,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,46027,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,4702,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,2001,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,99,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,363,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,698,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,19662,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,3954,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,369,cases
