"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Dengue","Brazil","Rondonia","state",2017-01-01,2017-01-28,NA,340,NA,"alarm=0;probable=340;severe=0","EpiBulletin",""
"Dengue","Brazil","Acre","state",2017-01-01,2017-01-28,NA,316,NA,"alarm=0;probable=316;severe=0","EpiBulletin",""
"Dengue","Brazil","Amazonas","state",2017-01-01,2017-01-28,NA,538,NA,"alarm=0;probable=538;severe=0","EpiBulletin",""
"Dengue","Brazil","Roraima","state",2017-01-01,2017-01-28,NA,50,NA,"alarm=0;probable=50;severe=0","EpiBulletin",""
"Dengue","Brazil","Para","state",2017-01-01,2017-01-28,NA,536,NA,"alarm=0;probable=536;severe=0","EpiBulletin",""
"Dengue","Brazil","Amapa","state",2017-01-01,2017-01-28,NA,47,NA,"alarm=0;probable=47;severe=0","EpiBulletin",""
"Dengue","Brazil","Tocantins","state",2017-01-01,2017-01-28,NA,546,NA,"alarm=0;probable=546;severe=0","EpiBulletin",""
"Dengue","Brazil","Maranhao","state",2017-01-01,2017-01-28,NA,189,NA,"alarm=0;probable=189;severe=0","EpiBulletin",""
"Dengue","Brazil","Piaui","state",2017-01-01,2017-01-28,NA,30,NA,"alarm=0;probable=30;severe=0","EpiBulletin",""
"Dengue","Brazil","Ceara","state",2017-01-01,2017-01-28,NA,1589,NA,"alarm=2;probable=1587;severe=0","EpiBulletin",""
"Dengue","Brazil","Rio_Grande_do_Norte","state",2017-01-01,2017-01-28,NA,109,NA,"alarm=0;probable=109;severe=0","EpiBulletin",""
"Dengue","Brazil","Paraiba","state",2017-01-01,2017-01-28,NA,56,NA,"alarm=0;probable=56;severe=0","EpiBulletin",""
"Dengue","Brazil","Pernambuco","state",2017-01-01,2017-01-28,NA,354,NA,"alarm=0;probable=354;severe=0","EpiBulletin",""
"Dengue","Brazil","Alagoas","state",2017-01-01,2017-01-28,NA,71,NA,"alarm=0;probable=71;severe=0","EpiBulletin",""
"Dengue","Brazil","Sergipe","state",2017-01-01,2017-01-28,NA,45,NA,"alarm=0;probable=45;severe=0","EpiBulletin",""
"Dengue","Brazil","Bahia","state",2017-01-01,2017-01-28,NA,1355,NA,"alarm=0;probable=1355;severe=0","EpiBulletin",""
"Dengue","Brazil","Minas_Gerais","state",2017-01-01,2017-01-28,NA,4633,NA,"alarm=5;probable=4628;severe=0","EpiBulletin",""
"Dengue","Brazil","Espirito_Santo","state",2017-01-01,2017-01-28,NA,823,NA,"alarm=5;probable=818;severe=0","EpiBulletin",""
"Dengue","Brazil","Rio_de_Janeiro","state",2017-01-01,2017-01-28,NA,745,NA,"alarm=3;probable=742;severe=0","EpiBulletin",""
"Dengue","Brazil","Sao_Paulo","state",2017-01-01,2017-01-28,NA,2838,NA,"alarm=5;probable=2833;severe=0","EpiBulletin",""
"Dengue","Brazil","Parana","state",2017-01-01,2017-01-28,NA,2038,NA,"alarm=0;probable=2038;severe=0","EpiBulletin",""
"Dengue","Brazil","Santa_Catarina","state",2017-01-01,2017-01-28,NA,178,NA,"alarm=0;probable=178;severe=0","EpiBulletin",""
"Dengue","Brazil","Rio_Grande_do_Sul","state",2017-01-01,2017-01-28,NA,191,NA,"alarm=0;probable=191;severe=0","EpiBulletin",""
"Dengue","Brazil","Mato_Grosso_do_Sul","state",2017-01-01,2017-01-28,NA,300,NA,"alarm=0;probable=300;severe=0","EpiBulletin",""
"Dengue","Brazil","Mato_Grosso","state",2017-01-01,2017-01-28,NA,598,NA,"alarm=0;probable=598;severe=0","EpiBulletin",""
"Dengue","Brazil","Goias","state",2017-01-01,2017-01-28,NA,2613,NA,"alarm=55;probable=2554;severe=4","EpiBulletin",""
"Dengue","Brazil","Distrito_Federal","state",2017-01-01,2017-01-28,NA,127,NA,"alarm=2;probable=125;severe=0","EpiBulletin",""
