"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Dengue","Brazil","Rondonia","state",2015-01-04,2015-04-11,NA,1960,NA,"alarm=2;death=1;probable=1954;severe=3;severealarm=0","EpiBulletin",""
"Dengue","Brazil","Acre","state",2015-01-04,2015-04-11,NA,7821,NA,"alarm=3;death=0;probable=7818;severe=0;severealarm=0","EpiBulletin",""
"Dengue","Brazil","Amazonas","state",2015-01-04,2015-04-11,NA,2495,NA,"alarm=2;death=0;probable=2493;severe=0;severealarm=0","EpiBulletin",""
"Dengue","Brazil","Roraima","state",2015-01-04,2015-04-11,NA,405,NA,"alarm=1;death=0;probable=404;severe=0;severealarm=0","EpiBulletin",""
"Dengue","Brazil","Para","state",2015-01-04,2015-04-11,NA,4097,NA,"alarm=9;death=0;probable=4086;severe=2;severealarm=0","EpiBulletin",""
"Dengue","Brazil","Amapa","state",2015-01-04,2015-04-11,NA,1557,NA,"alarm=6;death=0;probable=1543;severe=8;severealarm=0","EpiBulletin",""
"Dengue","Brazil","Tocantins","state",2015-01-04,2015-04-11,NA,5698,NA,"alarm=3;death=0;probable=5691;severe=2;severealarm=2","EpiBulletin",""
"Dengue","Brazil","Maranhao","state",2015-01-04,2015-04-11,NA,3382,NA,"alarm=12;death=0;probable=3359;severe=1;severealarm=10","EpiBulletin",""
"Dengue","Brazil","Piaui","state",2015-01-04,2015-04-11,NA,2028,NA,"alarm=10;death=0;probable=2016;severe=0;severealarm=2","EpiBulletin",""
"Dengue","Brazil","Ceara","state",2015-01-04,2015-04-11,NA,15333,NA,"alarm=93;death=3;probable=15190;severe=13;severealarm=34","EpiBulletin",""
"Dengue","Brazil","Rio_Grande_do_Norte","state",2015-01-04,2015-04-11,NA,9992,NA,"alarm=8;death=1;probable=9981;severe=1;severealarm=1","EpiBulletin",""
"Dengue","Brazil","Paraiba","state",2015-01-04,2015-04-11,NA,4082,NA,"alarm=4;death=1;probable=4055;severe=0;severealarm=22","EpiBulletin",""
"Dengue","Brazil","Pernambuco","state",2015-01-04,2015-04-11,NA,18840,NA,"alarm=6;death=0;probable=18830;severe=1;severealarm=3","EpiBulletin",""
"Dengue","Brazil","Alagoas","state",2015-01-04,2015-04-11,NA,3495,NA,"alarm=18;death=0;probable=3477;severe=0;severealarm=0","EpiBulletin",""
"Dengue","Brazil","Sergipe","state",2015-01-04,2015-04-11,NA,2263,NA,"alarm=1;death=0;probable=2261;severe=1;severealarm=0","EpiBulletin",""
"Dengue","Brazil","Bahia","state",2015-01-04,2015-04-11,NA,16353,NA,"alarm=4;death=1;probable=16342;severe=2;severealarm=4","EpiBulletin",""
"Dengue","Brazil","Minas_Gerais","state",2015-01-04,2015-04-11,NA,47332,NA,"alarm=150;death=6;probable=47157;severe=13;severealarm=6","EpiBulletin",""
"Dengue","Brazil","Espirito_Santo","state",2015-01-04,2015-04-11,NA,4014,NA,"alarm=41;death=4;probable=3940;severe=8;severealarm=21","EpiBulletin",""
"Dengue","Brazil","Rio_de_Janeiro","state",2015-01-04,2015-04-11,NA,18478,NA,"alarm=55;death=5;probable=18398;severe=16;severealarm=4","EpiBulletin",""
"Dengue","Brazil","Sao_Paulo","state",2015-01-04,2015-04-11,NA,349103,NA,"alarm=3510;death=142;probable=345221;severe=194;severealarm=36","EpiBulletin",""
"Dengue","Brazil","Parana","state",2015-01-04,2015-04-11,NA,32899,NA,"alarm=98;death=6;probable=32783;severe=12;severealarm=0","EpiBulletin",""
"Dengue","Brazil","Santa_Catarina","state",2015-01-04,2015-04-11,NA,3429,NA,"alarm=29;death=0;probable=3400;severe=0;severealarm=0","EpiBulletin",""
"Dengue","Brazil","Rio_Grande_do_Sul","state",2015-01-04,2015-04-11,NA,1219,NA,"alarm=1;death=1;probable=1216;severe=1;severealarm=0","EpiBulletin",""
"Dengue","Brazil","Mato_Grosso_do_Sul","state",2015-01-04,2015-04-11,NA,9994,NA,"alarm=25;death=2;probable=9964;severe=3;severealarm=0","EpiBulletin",""
"Dengue","Brazil","Mato_Grosso","state",2015-01-04,2015-04-11,NA,5340,NA,"alarm=1;death=1;probable=5335;severe=3;severealarm=0","EpiBulletin",""
"Dengue","Brazil","Goias","state",2015-01-04,2015-04-11,NA,56688,NA,"alarm=261;death=8;probable=56339;severe=46;severealarm=34","EpiBulletin",""
"Dengue","Brazil","Distrito_Federal","state",2015-01-04,2015-04-11,NA,2891,NA,"alarm=7;death=3;probable=2878;severe=3;severealarm=0","EpiBulletin",""
